rel_time,ID,date,time,dimension,state,substate,controllerleftclick,controllerrightclick,coloredcube,stimulus,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,raylocationX,raylocationY,raylocationZ,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,rayscreenlocationX,rayscreenlocationX.1,combined.convergence_distance_mm,combined.convergence_distance_validity,combined.eye_data.eye_openness,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,combined.pupil_diameter_mm,combined.pupil_position_in_sensor_area.X,combined.pupil_position_in_sensor_area.Y,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide
0.231,189,2021.11.29,11.19.2.019,2,0,0,0,0,,0,,,4.19759,-4.881871,117.671944,7.880327,17.260973,6.242704,165.397125,160.768692,-1.919112,170.89711,160.768677,-1.919103,170.897095,partitionwall_15.StaticMeshComponent0 partitionwall,1908.062622,1908.062622,0.0,0,0.0,0.094193,0.026276,0.995193,-1.792801,6.046814,-31.76152,0.0,0.0,0.0,1.0,0.059814,0.024246,0.99791,32.471481,4.695999,-31.242584,3.183838,0.478863,0.446066,1.0,0.122147,0.027924,0.992111,-29.739563,7.148575,-32.184769,3.369034,0.473932,0.352518,0.375139,0.375139
0.264,189,2021.11.29,11.19.2.052,2,0,0,0,0,,0,,,4.192956,-4.849935,117.671883,7.969052,17.21282,6.319304,165.36319,160.768723,-2.205518,170.794632,160.768677,-2.205508,170.794617,partitionwall_15.StaticMeshComponent0 partitionwall,1903.460815,1903.460815,0.0,0,0.0,0.038223,-0.023117,0.998993,28.684387,4.564514,-31.267242,0.0,0.0,0.0,1.0,0.034164,-0.023361,0.99913,32.252258,4.411713,-31.156815,3.126785,0.490175,0.461929,1.0,0.104706,-0.018982,0.994308,-29.765976,7.067749,-33.076294,3.308594,0.47756,0.369921,0.327956,0.327956
0.297,189,2021.11.29,11.19.2.085,2,0,0,0,0,,0,,,4.188529,-4.81329,117.656876,7.985119,17.189831,6.36224,83.848495,84.63929,0.991574,140.559921,84.63929,0.991574,140.559906,A_StateManager_2.ScreenWidget,2023.480347,2023.480347,0.0,0,0.0,-0.017853,-0.291534,0.95639,31.62558,3.312515,-31.527756,0.0,0.0,0.0,1.0,-0.017853,-0.291534,0.956375,31.636139,3.312103,-31.527557,3.073456,0.518804,0.543627,1.0,0.050308,-0.275528,0.959961,-29.660812,5.726822,-32.632507,3.225204,0.482399,0.453285,0.139417,0.139417
0.331,189,2021.11.29,11.19.2.119,2,0,0,0,0,,0,503.654572,789.296265,4.190119,-4.785728,117.653297,8.000847,17.167652,6.417716,81.089828,84.639282,5.37752,118.102173,84.639282,5.377519,118.102173,A_StateManager_2.ScreenWidget,2212.542969,2212.542969,0.0,0,0.0,-0.012177,-0.295044,0.955399,30.735809,3.285187,-31.570694,0.0,0.0,0.0,1.0,-0.013275,-0.295044,0.955383,31.739059,3.246262,-31.552628,3.065445,0.51455,0.546678,1.0,0.054398,-0.293518,0.954391,-29.80603,5.634735,-32.66124,3.060257,0.486687,0.459629,0.018265,0.018265
0.375,189,2021.11.29,11.19.2.163,2,0,0,0,0,,0,566.310974,468.471313,4.191038,-4.761529,117.653633,8.03591,17.152954,6.47842,81.038605,84.639282,5.001513,117.787262,84.639282,5.001513,117.787262,A_StateManager_2.ScreenWidget,2201.046387,2201.046387,0.0,0,0.0,0.014709,-0.296783,0.954819,1.358887,4.432144,-32.099396,0.0,0.0,0.0,1.0,-0.019424,-0.306641,0.951614,31.808044,3.257751,-31.543091,3.105377,0.513002,0.548003,1.0,0.049698,-0.286301,0.956848,-29.876221,5.636856,-32.670044,3.127365,0.48989,0.458467,0.02259,0.02259
0.398,189,2021.11.29,11.19.2.186,2,0,0,0,0,,0,560.939453,463.972565,4.196788,-4.75781,117.654816,8.067709,17.141151,6.54271,80.796875,84.63929,2.801201,117.626625,84.63929,2.8012,117.626625,A_StateManager_2.ScreenWidget,2140.440186,2140.440186,0.0,0,0.0,0.019745,-0.300629,0.953522,1.17337,4.437347,-32.105408,0.0,0.0,0.0,1.0,-0.014938,-0.311279,0.950195,31.835236,3.253784,-31.546814,3.016693,0.511474,0.548906,1.0,0.054901,-0.289413,0.955612,-29.901382,5.636841,-32.671539,3.15271,0.489991,0.458988,0.039539,0.039539
0.431,189,2021.11.29,11.19.2.219,2,0,0,0,0,,0,529.506409,461.677765,4.20052,-4.749966,117.652725,8.019943,17.136055,6.574483,80.758675,84.639297,2.42219,117.2948,84.63929,2.422189,117.2948,A_StateManager_2.ScreenWidget,2129.341553,2129.341553,0.0,0,0.0,0.022736,-0.300644,0.953461,0.260971,4.480438,-32.125992,0.0,0.0,0.0,1.0,-0.014969,-0.309906,0.950638,31.855072,3.258102,-31.550262,3.055374,0.510754,0.548568,1.0,0.058746,-0.291367,0.954803,-29.930176,5.648483,-32.676163,3.103821,0.49036,0.458933,0.051287,0.051287
0.465,189,2021.11.29,11.19.2.253,2,0,0,0,0,,0,524.09198,456.937408,4.207227,-4.746222,117.65728,8.051044,17.13736,6.597133,80.732353,84.639282,2.201642,117.303856,84.63929,2.201641,117.303856,A_StateManager_2.ScreenWidget,2121.409424,2121.409424,0.0,0,0.0,0.020935,-0.297607,0.954453,0.7397,4.458649,-32.120163,0.0,0.0,0.0,1.0,-0.014099,-0.301315,0.953415,31.881668,3.264191,-31.551743,3.047485,0.509714,0.547014,1.0,0.055435,-0.293579,0.954315,-29.9366,5.635239,-32.680099,3.171356,0.491151,0.459801,0.079449,0.079449
0.497,189,2021.11.29,11.19.2.285,2,0,0,0,0,,0,520.941284,457.066772,4.216586,-4.736066,117.654274,8.036716,17.125832,6.622371,80.738777,84.639282,2.400277,117.540695,84.63929,2.400276,117.540695,A_StateManager_2.ScreenWidget,2125.279053,2125.279053,0.0,0,0.0,0.023026,-0.302216,0.952957,1.399063,4.429764,-32.113113,0.0,0.0,0.0,1.0,-0.013855,-0.310532,0.950455,31.889954,3.262543,-31.553024,3.035934,0.509393,0.548535,1.0,0.060944,-0.293213,0.954086,-29.96698,5.630493,-32.689255,3.047363,0.491254,0.459961,0.097121,0.097121
0.531,189,2021.11.29,11.19.2.319,2,0,0,0,0,,0,523.778931,460.450195,4.224732,-4.728544,117.6492,8.035038,17.095177,6.620166,80.716515,84.63929,2.225512,117.105415,84.63929,2.225511,117.105415,A_StateManager_2.ScreenWidget,2120.785156,2120.785156,0.0,0,0.0,-0.016022,-0.315994,0.948608,2.251541,4.319031,-32.119705,0.0,0.0,0.0,1.0,-0.047531,-0.312515,0.948715,31.714417,3.172134,-31.566681,2.96492,0.520478,0.552143,1.0,0.018555,-0.319443,0.947418,-30.079941,5.577606,-32.726578,3.050583,0.501694,0.466542,0.098507,0.098507
