rel_time,ID,date,time,dimension,state,substate,controllerleftclick,controllerrightclick,coloredcube,stimulus,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,raylocationX,raylocationY,raylocationZ,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,rayscreenlocationX,rayscreenlocationX.1,combined.convergence_distance_mm,combined.convergence_distance_validity,combined.eye_data.eye_openness,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,combined.pupil_diameter_mm,combined.pupil_position_in_sensor_area.X,combined.pupil_position_in_sensor_area.Y,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide
0.0,161,2021.11.24,13.29.13.166,2,0,0,0,0,,0,,,0.37912,-0.746453,117.645248,-1.018837,11.288957,1.493841,86.5215,85.197807,1.465478,134.582458,85.1978,1.465479,134.582458,BP_Monitor_C_2147482164.StaticMeshComponent0 monitor,2225.635742,2225.635742,0.0,0,0.0,-0.126633,0.046448,0.99086,-16.447876,1.022888,-23.312073,0.0,0.0,0.0,1.0,-0.186935,0.050461,0.981064,32.043594,1.971176,-32.856995,3.883316,0.546026,0.557686,0.987327,-0.120804,0.046051,0.991592,-21.110336,0.931702,-22.394318,4.076157,0.213295,0.47258,0.077565,0.0
0.006,161,2021.11.24,13.29.13.172,2,0,0,0,0,,0,,,0.37912,-0.746453,117.645248,-1.018837,11.288957,1.493841,88.436432,85.197792,12.372728,138.968506,85.1978,12.372729,138.968506,BP_Monitor_C_2147482164.StaticMeshComponent0 monitor,2461.997559,2461.997559,0.0,0,0.0,-0.169327,0.044113,0.984558,-17.413025,1.059814,-23.220367,0.0,0.0,0.0,1.0,-0.197418,0.044525,0.979294,31.96991,1.898071,-32.636948,4.02771,0.549882,0.559203,0.987327,-0.167221,0.044083,0.984924,-21.121567,0.996857,-22.513199,4.014252,0.221004,0.47207,0.079014,0.0
0.048,161,2021.11.24,13.29.13.214,2,0,0,0,0,,0,,,0.395072,-0.743961,117.64653,-1.064,11.277632,1.353976,89.00486,85.1978,15.933426,138.912186,85.197792,15.933424,138.91217,BP_Monitor_C_2147482164.StaticMeshComponent0 monitor,2550.466553,2550.466553,0.0,0,0.0,-0.188599,0.035049,0.981415,21.384262,1.704865,-30.59964,0.0,0.0,0.0,1.0,-0.197571,0.044235,0.979279,31.956802,1.879898,-32.604355,4.023254,0.550363,0.559557,1.0,-0.152176,-0.001999,0.988342,-21.197922,0.999878,-22.525406,4.096344,0.220863,0.479493,0.108455,0.087158
0.068,161,2021.11.24,13.29.13.234,2,0,0,0,0,,0,,,0.397381,-0.743306,117.65094,-1.035766,11.250304,1.27956,89.132797,85.1978,17.540653,138.126328,85.197792,17.540653,138.126328,BP_Monitor_C_2147482164.StaticMeshComponent0 monitor,2596.172852,2596.172852,0.0,0,0.0,-0.166992,0.014664,0.98584,-4.111435,1.281952,-25.774063,0.0,0.0,0.0,1.0,-0.200775,0.043243,0.978668,31.957016,1.883453,-32.614792,3.99971,0.550862,0.55967,1.0,-0.150864,0.001099,0.988541,-21.207581,0.996857,-22.531616,3.990372,0.221004,0.479007,0.110402,0.107585
0.09,161,2021.11.24,13.29.13.256,2,0,0,0,0,,0,738.34967,752.604126,0.398964,-0.7411,117.646584,-1.002785,11.261055,1.213845,87.729156,84.639282,15.37709,136.090469,84.639275,15.37709,136.090469,A_StateManager_2.ScreenWidget,2548.520752,2548.520752,0.0,0,0.0,-0.17421,0.016724,0.984558,0.729645,1.361755,-26.688583,0.0,0.0,0.0,1.0,-0.201599,0.042755,0.978531,31.956589,1.883453,-32.605865,4.007324,0.550982,0.55967,1.0,-0.154816,-0.001556,0.98793,-21.207581,0.995255,-22.531616,3.996475,0.221645,0.479533,0.105353,0.122862
0.111,161,2021.11.24,13.29.13.277,2,0,0,0,0,,0,709.161987,725.44696,0.398409,-0.736785,117.653366,-0.974815,11.260536,1.151549,87.873055,84.639275,15.927848,136.293106,84.639275,15.927847,136.293106,A_StateManager_2.ScreenWidget,2564.748779,2564.748779,0.0,0,0.0,-0.176636,0.017059,0.984116,2.97963,1.397476,-27.113052,0.0,0.0,0.0,1.0,-0.201721,0.042496,0.978516,31.956192,1.883224,-32.608353,4.003433,0.551019,0.559739,1.0,-0.155502,-0.004181,0.987823,-21.210922,0.991959,-22.525406,4.069778,0.221853,0.480108,0.128966,0.117182
0.132,161,2021.11.24,13.29.13.298,2,0,0,0,0,,0,717.029968,728.341797,0.400248,-0.735462,117.653633,-0.97754,11.26406,1.094055,87.908707,84.639282,16.056797,136.355103,84.639275,16.056797,136.355103,A_StateManager_2.ScreenWidget,2570.235352,2570.235352,0.0,0,0.0,-0.178329,0.017349,0.98381,2.853668,1.393036,-27.089401,0.0,0.0,0.0,1.0,-0.201584,0.04277,0.978531,31.955643,1.882141,-32.608353,4.003494,0.551019,0.559734,1.0,-0.158936,-0.003693,0.987274,-21.217117,0.98851,-22.524582,4.12587,0.222609,0.480222,0.13467,0.125089
0.156,161,2021.11.24,13.29.13.322,2,0,0,0,0,,0,718.87207,729.227417,0.409941,-0.730741,117.651176,-0.977477,11.266109,1.006695,87.902306,84.639282,16.076298,136.352966,84.639275,16.076298,136.352966,A_StateManager_2.ScreenWidget,2572.913574,2572.913574,0.0,0,0.0,-0.179077,0.015045,0.983704,3.728119,1.405945,-27.229355,0.0,0.0,0.0,1.0,-0.202805,0.038422,0.978455,31.953094,1.881287,-32.605865,3.998337,0.551286,0.560365,1.0,-0.157944,-0.005615,0.987427,-21.220169,0.985779,-22.477005,4.133835,0.222652,0.480222,0.153704,0.136511
0.178,161,2021.11.24,13.29.13.344,2,0,0,0,0,,0,719.150635,729.196899,0.409073,-0.738525,117.644241,-0.938043,11.278178,0.940305,87.867813,84.639282,16.032429,136.21196,84.639275,16.032429,136.21196,A_StateManager_2.ScreenWidget,2575.15918,2575.15918,0.0,0,0.0,-0.184875,0.016174,0.98262,5.744858,1.437027,-27.606155,0.0,0.0,0.0,1.0,-0.20932,0.036926,0.977142,31.948242,1.881287,-32.605865,4.021515,0.552372,0.56065,1.0,-0.1595,-0.005173,0.987167,-21.220169,0.979874,-22.461105,4.133179,0.222948,0.480222,0.16308,0.179519
0.2,161,2021.11.24,13.29.13.366,2,0,0,0,0,,0,718.523926,727.182556,0.411533,-0.74451,117.648224,-0.944403,11.291395,0.855088,87.959282,84.639275,16.412407,136.307358,84.639275,16.412405,136.307358,A_StateManager_2.ScreenWidget,2587.403076,2587.403076,0.0,0,0.0,-0.186615,0.015762,0.9823,5.092468,1.426483,-27.483582,0.0,0.0,0.0,1.0,-0.210342,0.037003,0.976913,31.947098,1.882309,-32.61084,4.021423,0.552563,0.560656,1.0,-0.163193,-0.005051,0.986572,-21.219162,0.979874,-22.459991,4.137665,0.223523,0.480222,0.165908,0.178788
