ID,dimension,condition,stimulus,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades,Mean fixation duration during head movement,Mean distance to figure,Mean angle around figure
103,3,first,6,14,2.319416832339297,8,1.3253810470510268,0.17119999999999885,107.71657266314757,3.8402861034170623
103,3,first,7,17,3.0367988567345408,9,1.6077170418006392,0.16200000000000042,108.23457825348609,3.7044462496880612
103,3,first,8,17,2.585158150851573,9,1.3686131386861269,0.2743333333333642,109.44396597631868,2.616294214969983
103,3,first,9,24,3.4522439585730735,10,1.4384349827387806,0.14942857142856725,108.15752352313656,3.500238714507552
103,3,first,10,15,3.772635814889337,8,2.012072434607646,0.14239999999999495,108.08103057125368,2.221260954672395
103,3,first,11,18,2.657218777679362,7,1.0333628579864185,0.16633333333335065,109.03449039510956,2.208990280392365
103,3,first,12,9,3.394945303658983,7,2.640513013956987,0.1800000000000068,109.05572657524822,2.232503410260825
103,3,first,13,9,2.862595419847324,7,2.2264631043256964,,109.0439725621034,2.238774108368082
103,3,first,14,13,2.439939939939951,5,0.9384384384384428,0.16728571428571318,107.89870802216643,3.7613080747320202
103,3,first,15,18,2.7915632754342274,8,1.240694789081879,0.18787500000000887,109.04110515892276,2.5954915056888255
103,3,first,16,23,2.6906878802058953,14,1.6378100140383711,0.7704999999999913,108.9878104775565,2.212899397808401
103,3,first,17,18,2.89901755516186,11,1.7716218392655814,0.2960000000000065,108.93512469548949,2.752640973068921
103,3,first,18,7,3.00687285223371,6,2.577319587628894,,108.95293780364176,2.1612192919183144
103,3,first,19,24,2.711251694532308,15,1.6945323090826925,0.1999999999999886,108.98216142610205,2.2769213601004235
103,3,first,20,10,2.5432349949135284,8,2.034587995930823,0.20025000000000576,107.42127764011657,2.4757259991499514
103,3,first,21,21,2.4364775495997217,10,1.160227404571296,0.16684615384615248,107.39783624303233,4.953856189953071
103,3,first,22,12,3.1779661016949543,5,1.3241525423728977,0.43100000000004,109.327750489825,2.351703161038253
103,3,first,23,19,2.3791635361883285,8,1.0017530678687698,0.1756249999999997,107.30666891212044,2.9017544771779598
103,3,first,24,25,2.5262732417138194,18,1.81891673403395,0.6669999999999732,109.58226526112506,2.498664444958861
103,3,first,25,11,2.910052910052931,7,1.8518518518518652,,108.86714293683495,2.1426237847533334
103,3,first,26,22,2.76243093922652,10,1.2556504269211453,0.26916666666667294,108.65546113790505,2.2252146068413996
103,3,first,27,11,2.357479639948566,8,1.7145306472353206,0.235666666666674,109.37733344761014,2.38317237399026
103,3,first,28,17,1.9675925925925957,10,1.1574074074074092,0.2039999999999992,108.47960830062132,2.4097136230217697
103,3,first,29,12,1.7045454545454497,9,1.2784090909090873,0.15914285714286178,107.30571118873003,4.4969497177874524
103,3,first,30,11,2.588235294117647,8,1.8823529411764706,0.464666666666659,108.99840849451833,2.7457632566839543
105,2,second,1,16,2.6084121291164,10,1.6302575806977502,0.17699999999999694,89.93940579895052,8.805468213903364
105,2,second,2,18,3.245582401730973,13,2.3440317345834805,0.12566666666666745,90.00906639294014,8.772610524909604
105,2,second,3,9,2.981119576018544,3,0.9937065253395148,,90.10565782954227,8.784087284500554
105,2,second,4,14,2.6535253980288043,8,1.516300227445031,0.1405000000000029,91.74041402415871,8.070952318250043
105,2,second,5,24,2.7485112230874855,18,2.0613834173156143,0.13960000000000147,90.82701129907464,8.489442109613893
105,2,second,6,19,2.904754624675115,15,2.2932273352698274,0.12550000000000713,90.50628120233284,8.601144414469948
105,2,second,7,15,2.259036144578308,12,1.8072289156626467,0.17766666666666228,91.06330921054568,8.336484959439028
105,2,second,8,14,2.9604567561852404,12,2.5375343624444917,0.14066666666666802,90.24012352194197,8.69216955212448
105,2,second,9,16,2.934164679992663,11,2.0172382174949557,0.1120000000000089,90.84661660116117,8.443780469912122
105,2,second,10,24,2.524986849026829,21,2.2093634928984756,0.15220000000001047,92.15528140715658,7.872817660103433
105,2,second,11,16,2.956393200295636,11,2.0325203252032495,0.1256666666666686,90.07217164740963,8.734806323807243
105,2,second,12,14,2.36446546191522,16,2.702246242188823,0.1309999999999718,90.9582493525441,8.404414877548232
105,2,second,13,18,2.525606847200782,19,2.6659183387119367,0.13366666666667013,91.83145080742908,8.02766545810558
105,2,second,14,20,3.291097581043279,16,2.6328780648346233,0.14450000000000068,90.35262774842326,8.673112504628984
105,2,second,15,18,2.779493514515133,9,1.3897467572575666,0.1920000000000025,90.19966330182238,8.704745099994577
105,2,second,16,21,3.0859662013225573,14,2.0573108008817047,0.12014285714285822,90.16568471730695,8.755469056342294
105,2,second,17,15,2.9898345624875446,11,2.1925453458241995,0.11833333333333935,91.6234771821381,8.088833010471587
105,2,second,18,10,2.6075619295958417,7,1.825293350717089,0.1747499999999888,90.67420124160721,8.46516221518933
105,2,second,19,27,2.6074360212457774,15,1.4485755673587652,,91.68228026106641,8.03717505235901
105,2,second,20,9,2.8011204481792524,7,2.1786492374727517,0.12566666666665086,90.78902791503181,8.379938307122938
105,2,second,21,19,2.9163468917881743,16,2.455871066768989,0.15433333333332652,90.6258374021863,8.575737111087946
105,2,second,22,14,4.022988505747122,7,2.011494252873561,0.12533333333332544,90.13924448173302,8.784187894580587
105,2,second,23,20,2.701607456436583,11,1.4858841010401205,0.22575000000000497,91.2203501402697,8.246695504405253
105,2,second,24,19,3.0894308943089404,11,1.7886178861788602,0.27366666666666595,91.82806439022826,7.980111016396972
105,2,second,25,13,2.6998961578400844,11,2.284527518172379,0.12666666666666512,91.50293676274319,8.153338052761042
105,2,second,26,22,3.0964109781843816,15,2.111189303307533,0.16699999999998735,91.15604885163569,8.271123679289715
105,2,second,27,13,2.5450274079874684,13,2.5450274079874684,0.1353333333333258,90.45960451767431,8.620492460879662
105,2,second,28,16,3.206412825651297,8,1.6032064128256485,0.14000000000000523,90.76953490194995,8.481331464674387
105,2,second,29,18,3.8135593220338992,9,1.9067796610169496,0.1102500000000006,90.13196804653924,8.727648498524898
105,2,second,30,13,3.2936407398023806,10,2.5335697998479847,0.13700000000000517,90.43193943173858,8.645350860750273
105,3,first,1,9,3.202846975088965,5,1.7793594306049807,0.1120000000000089,87.79364669288694,10.543193211520316
105,3,first,2,11,3.9985459832788215,6,2.181025081788448,0.12566666666666032,87.6281517678655,10.596517637063805
105,3,first,3,20,2.891426919184617,11,1.5902848055515393,0.1335000000000121,87.34670900649978,10.02007394927398
105,3,first,4,8,2.6595744680851228,7,2.3271276595744825,,87.67745213865277,9.801323047687186
105,3,first,5,5,1.9432568985619842,8,3.1092110376991746,,87.30993682296655,10.07286564336635
105,3,first,6,13,2.949183303085308,12,2.722323049001823,0.1330000000000097,87.20160037279669,10.115899228515056
105,3,first,7,7,2.2838499184339334,7,2.2838499184339334,,87.87603085195542,9.933135808484673
105,3,first,8,17,2.403166525303935,16,2.261803788521351,0.1370000000000004,86.57549432168356,10.389902492998184
105,3,first,9,12,2.6166593981683386,7,1.526384648931531,0.14766666666666708,88.03296777739398,10.22843365556022
105,3,first,10,9,3.8216560509554074,6,2.5477707006369386,,88.9059756188926,9.42336022712103
105,3,first,11,10,2.632964718272774,11,2.8962611901000512,0.1129999999999995,87.49584685123035,10.509382545776209
105,3,first,12,20,3.185727938834028,17,2.7078687480089236,0.12300000000001879,87.53704726808033,9.890689389666196
105,3,first,13,8,2.5649246553382263,7,2.244309073420948,,87.58058289775215,9.85483891942797
105,3,first,14,13,2.3280802292263596,12,2.148997134670486,0.14780000000000085,87.82729398861682,9.734620581001987
105,3,first,15,13,2.8053517479499437,8,1.7263703064307345,0.15550000000000344,87.19873226298444,10.116657462258164
105,3,first,16,18,2.5488530161427416,13,1.8408382894364246,0.18324999999999386,87.49511808587533,10.509247059635367
105,3,first,17,13,2.025553131816772,15,2.3371766905578144,0.16233333333334576,87.67345359012603,10.945560994983683
105,3,first,18,9,3.8445108927808955,6,2.5630072618539304,0.13749999999999574,87.18363584755161,10.111708023642624
105,3,first,19,4,2.3081361800346167,5,2.8851702250432707,0.12199999999998565,87.50666993692596,10.542912497564156
105,3,first,20,6,2.622377622377626,7,3.059440559440564,0.7339999999999947,87.98539733261417,9.881391862217383
105,3,first,21,10,3.7509377344335735,5,1.8754688672167867,0.13274999999999432,87.39125169952953,10.515510732335086
105,3,first,22,13,3.3574380165289135,8,2.0661157024793315,0.2510000000000048,87.82453213972386,9.725402796805842
105,3,first,23,11,3.873239436619733,6,2.112676056338036,0.132000000000005,88.29773389092466,9.740165652149784
105,3,first,24,7,2.9448885149347803,5,2.103491796381986,,87.63115537181112,10.52492586963091
105,3,first,25,12,2.5412960609910855,10,2.1177467174925715,0.1260000000000047,87.91698323151668,9.681033152883261
105,3,first,26,18,2.6745913818722182,13,1.9316493313521574,0.12199999999998565,87.58237735933928,10.492726911374028
105,3,first,27,9,2.3492560689115183,9,2.3492560689115183,,87.62404062603163,10.562070417543724
105,3,first,28,5,2.1422450728363294,5,2.1422450728363294,,87.46684524428373,10.593057607666045
105,3,first,29,6,2.0202020202020208,9,3.0303030303030316,,87.05919155417365,10.17844958613807
105,3,first,30,16,2.609262883235484,13,2.1200260926288306,0.14200000000000537,87.70450448930649,9.786591252783277
106,2,first,1,37,2.60196905766526,30,2.109704641350211,0.15557142857143544,91.29140245095617,8.186693069836505
106,2,first,2,37,2.3838670188776514,25,1.6107209587011158,0.1196666666666601,90.94554061170523,8.515121608197042
106,2,first,3,29,2.2620904836193465,19,1.482059282371296,0.13366666666667013,91.2046341345028,8.292768328629526
106,2,first,4,28,1.7067967083206368,15,0.914355379457484,0.17100000000001123,93.00218297393329,7.551296729180147
106,2,first,5,14,1.8245796950345363,8,1.0426169685911635,0.36449999999999244,92.41970753241392,7.800494585926395
106,2,first,6,51,2.0845254639090975,37,1.5123027875418944,0.13380000000001357,91.25797682757559,8.331339487421936
106,2,first,7,30,1.5894881848044957,26,1.377556426830563,0.2758333333333382,92.03454926786945,7.957459560574764
106,2,first,8,46,2.2902663679362734,32,1.5932287776947986,0.14437500000000544,91.04876946644966,8.321371183669266
106,2,first,9,38,2.038079914186105,21,1.1263073209975842,0.2710000000000055,91.84402730010977,8.128427217449769
106,2,first,10,26,1.953712052900512,18,1.3525698827772776,0.12600000000000475,91.89065516772985,8.071804669857569
106,2,first,11,28,2.231431303793433,23,1.8329614281160342,0.11199999999999474,91.57733099474538,8.06753973719311
106,2,first,12,11,1.4834794335805643,9,1.21375590020228,0.1450000000000386,92.07722531062552,7.933888631105991
106,2,first,13,11,1.6140865737343966,10,1.4673514306676332,0.13349999999999795,91.85893484874299,8.078191198836826
106,2,first,14,13,1.9853390348197917,17,2.5962125839951122,0.14716666666669195,91.03967470425313,8.491304562642178
106,2,first,15,30,2.3992322456813837,25,1.9993602047344865,0.13559999999999656,90.98004621169977,8.401725789033462
106,2,first,16,36,2.5895554596460943,24,1.7263703064307294,0.1236666666666703,90.66542314574495,8.637268372076875
106,2,first,17,26,2.2561610551891706,14,1.2148559527941687,0.140166666666668,92.30466659988117,7.756000132056845
106,2,first,18,23,2.2401870069153484,8,0.7791954806662081,0.13849999999996496,92.34122383354554,7.822319470672232
106,2,first,19,34,1.8211033743974274,16,0.8569898232458483,0.22128571428569493,92.9844368512541,7.503348633350793
