ID,dimension,condition,stimulus,Correct,RT,Response,Mean fixation duration,Mean regressive fixation duration,Equal fixation duration between figures,Equal fixation duration within figure,Mean saccade duration,Mean saccade amplitude,Mean saccade velocity,Mean pupil diameter,Pupil diameter amplitude,Mean head rotation,Mean head movement,Equal?,AngularDisp,DiffType
100,2,first,1,1,3.042999999999992,1,0.21487499999999723,0.1440000000000001,0.75,1.0,0.03971428571428751,18.09058783442788,201.10442880325354,0.024947190944881962,0.37078099999999947,2.3195292496154014,0.629058038478217,1,160,e
100,3,second,1,1,3.309999999999988,1,0.20233333333333467,0.0,0.8888888888888888,0.8888888888888888,0.044571428571427166,22.215652615580485,231.86006899728233,-0.1865717666666666,0.2097550000000004,3.09543941905173,0.7345162447464277,1,160,e
102,2,first,1,1,3.65700000000001,1,0.22062499999999916,0.2600000000000075,1.0,0.0,0.06688888888888651,29.3263689537564,240.5456844574627,0.15851512349397606,0.4345699999999998,0.8947693166225987,0.40768954855427353,1,160,e
102,3,second,1,1,3.599000000000004,1,0.22420000000000112,0.0,0.8,0.8,0.05562500000000176,25.62903489961576,240.4524210457169,-0.023208621165643706,0.49818400000000007,1.0479707314944602,0.4540729435978108,1,160,e
103,2,second,1,1,5.432000000000002,1,0.25462499999999855,0.20999999999999375,0.875,0.75,0.04369999999999724,22.948646138162523,203.1686079351509,0.11328154065040645,0.6314085,0.9325530449770281,0.41027746798877024,1,160,e
103,3,first,1,1,7.733000000000004,1,0.190684210526316,0.16375000000000206,0.8421052631578947,0.8421052631578947,0.041750000000003895,19.854934299810704,220.35642801541442,-0.257704393939394,0.3774185000000001,6.556158745554969,1.9583637903108881,1,160,e
105,2,second,1,0,6.134,0,0.20149999999999754,0.2419999999999937,0.875,0.6,0.04219999999999932,20.588588481848724,237.6331883875308,0.10805545366795365,0.1952285000000003,1.2211359395531323,0.41393154772762586,1,160,e
105,3,first,1,1,2.8100000000000023,1,0.1589999999999989,0.1329999999999955,0.6666666666666666,0.8888888888888888,0.06200000000000185,25.63766014271074,227.66313376861768,-0.2552967931034481,0.6343460000000007,1.0571728340834567,0.4573553039652295,1,160,e
106,2,first,1,1,14.22,1,0.19900000000000012,0.2531999999999968,0.8108108108108107,0.5384615384615385,0.040833333333335005,16.26202262852676,207.1401851335557,-0.04041735534591169,0.3160320000000002,0.7162625308944334,0.312985504609089,1,160,e
106,3,second,1,1,5.266000000000005,1,0.2137692307692283,0.20733333333332857,0.6153846153846154,0.46153846153846156,0.037700000000003744,17.6302259828078,259.43091817763116,0.018016816210045562,0.29394549999999986,1.2491692289035903,0.7683634662645069,1,160,e
107,2,second,1,1,4.396999999999999,1,0.2365000000000011,0.0,0.8,0.5,0.06300000000000017,27.701327788515744,233.00551486820547,0.15369111654135328,0.4946055,1.0991603497181746,0.38881546015041774,1,160,e
107,3,first,1,1,1.5450000000000017,1,0.381000000000002,0.0,0.5,0.5,0.04099999999999962,20.058779450672333,260.169009461663,-0.046913269841269485,0.43820950000000103,1.1672560386141855,0.39999997857958636,1,160,e
108,2,first,1,1,11.492000000000004,1,0.17903333333333057,0.17900000000000205,0.6666666666666666,0.46153846153846145,0.042000000000003916,18.233403585137136,204.66755540162993,-0.1136422991183879,0.2353440000000004,2.445930607021669,0.5930524169877792,1,160,e
108,3,second,1,1,12.605000000000018,1,0.21060714285714507,0.23164285714286081,0.9285714285714286,0.8571428571428572,0.04133333333333275,24.027925321563156,251.05491120170188,0.17613374606299204,0.6800004999999993,0.8211583964144423,0.30766400932109955,1,160,e
109,2,second,1,1,5.553999999999988,1,0.27150000000000046,0.0,0.5,1.0,0.04233333333333351,14.521361141579368,210.6302536176004,0.19493024215246604,0.3445585000000002,1.0819954056362993,0.361680768608491,1,160,e
109,3,first,1,1,5.36099999999999,1,0.17418181818181594,0.2900000000000204,0.7272727272727273,0.7272727272727273,0.038461538461537326,20.293158245825794,240.58564013085686,0.09252791745283057,0.6098634999999994,0.8500567813218403,0.3434816313487246,1,160,e
110,2,first,1,1,7.272000000000006,1,0.172499999999999,0.1340000000000003,0.625,0.6666666666666667,0.049333333333332015,14.205085755045909,145.9258597867842,0.15259246759259268,0.2625425000000004,1.9111071737520107,0.48656936148105145,1,160,e
110,3,second,1,1,16.526999999999987,1,0.22841860465116318,0.1523333333333359,0.9767441860465116,0.8235294117647058,0.039617647058822474,13.38799837334783,187.1979417770576,0.015393261329304918,0.3511584999999994,1.1157421575057014,0.4265567470802752,1,160,e
111,2,second,1,1,2.2310000000000016,1,0.2553333333333303,0.0,0.6666666666666667,1.0,0.04975000000000035,17.93536308138693,277.9475576934017,-0.023342928571428553,0.3651044999999996,1.0363173615650896,0.3469420216978486,1,160,e
111,3,first,1,1,3.987000000000009,1,0.18955555555555703,0.2000000000000028,0.4444444444444444,0.8888888888888888,0.053363636363634684,17.613818927610932,218.209590097252,-0.17929822781065066,0.6201550000000005,1.0521432474109784,0.5618777891555963,1,160,e
112,2,first,1,0,2.2480000000000047,0,0.1666000000000014,0.0,0.8,0.6666666666666666,0.03742857142856536,18.721794418574063,250.0705144867273,-0.09966324725274714,0.3320394999999996,1.0215232866847972,0.32383900661804077,1,160,e
112,3,second,1,0,2.3320000000000007,0,0.11150000000000035,0.1119999999999983,0.5,0.5,0.05512500000000114,19.193028384102902,227.50143977296088,0.11672331603773603,0.4445954999999996,9.836301089786225,1.9363590910936634,1,160,e
158,2,first,1,1,5.996000000000009,1,0.2514545454545459,0.0,0.5454545454545454,0.5,0.0498333333333332,20.6990395940303,269.62010455294563,0.08954632369942193,0.26972999999999997,0.7738781468368862,0.3248507673167268,1,160,e
158,3,second,1,1,10.66000000000001,1,0.24987499999999896,0.3417499999999958,0.875,0.6666666666666667,0.058250000000000975,23.278027054085992,238.21493801431066,0.24619500320512835,0.37672400000000034,0.6465753274349243,0.2627186719616001,1,160,e
159,2,second,1,1,5.565000000000005,1,0.25541666666666585,0.28349999999999653,0.8333333333333334,0.5714285714285714,0.04115384615384558,17.604392227988285,254.79357751430524,-0.014601773809523856,0.2283939999999997,0.8189663660790585,0.3218988233580481,1,160,e
