ID,cond,time,rel_time,dimension,stimulus,onset,controllerleftclick,controllerrightclick,stimulus_ue,2d_x_pixel,2d_y_pixel,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide,left.pupil_diameter_clean,right.pupil_diameter_clean,combined.pupil_diameter_clean,combined.pupil_diameter_corr,time_diff,hitobject,head_x,head_y,head_z,gaze_angle_velo,head_angle_velo,head_loc_velo,2d_x,2d_y,2Dside
168,first,0.0,-3.096999999999994,2,16.0,0.0,0,5,Pause,451.231812,433.567474,17.883062,-4.460788,119.116234,0.401142,-0.626246,2.505609,66.887184,84.63929,-2.435835,115.455353,A_StateManager_2.ScreenWidget,0.014755,-0.042496,0.998978,1.036469,2.255783,-35.352341,0.901005,-0.037338,-0.055573,0.997742,34.585403,2.851959,-35.263153,2.790207,0.401136,0.554606,0.50031,0.059708,-0.031128,0.997726,-27.918335,1.741241,-35.429321,2.531723,0.433657,0.57612,0.0,0.0,2.790207,2.531723,2.660965,0.0070874999999999,0.0,ScreenWidget,0.9989842713071513,0.043714578164128014,0.010929837000255153,0.0,0.0,0.0,-2.435835,115.455353,left
168,first,0.0319999999999964,-3.0649999999999977,2,16.0,0.0,0,5,Pause,454.69162,430.659576,17.875025,-4.473984,119.118286,0.418689,-0.584828,2.472238,66.884865,84.63929,-2.575178,115.580978,A_StateManager_2.ScreenWidget,0.010895,-0.043289,0.998993,3.748795,2.321198,-35.359131,0.916133,-0.037766,-0.053162,0.997864,34.584808,2.857407,-35.256851,2.810028,0.401205,0.553999,0.525598,0.060852,-0.033035,0.997589,-27.920532,1.770493,-35.464172,2.526581,0.433543,0.575706,0.0,0.0,2.810028,2.526581,2.6683045,0.0144269999999999,0.0319999999999964,ScreenWidget,0.9990171953041874,0.043133058093359544,0.010206996917314462,13.304196133391349,1.6621210607344075,0.4870776305313633,-2.575178,115.580978,left
168,first,0.0660000000000025,-3.030999999999992,2,16.0,0.0,0,5,Pause,452.700989,432.454254,17.862181,-4.475713,119.122734,0.404122,-0.543458,2.483821,66.906288,84.63929,-2.304165,115.579514,A_StateManager_2.ScreenWidget,0.008682,-0.045151,0.998932,5.466919,2.372452,-35.372299,0.926719,-0.036865,-0.052505,0.997925,34.58165,2.862564,-35.262222,2.790955,0.401205,0.553717,0.5778,0.060913,-0.036606,0.997467,-27.921127,1.810394,-35.498535,2.525238,0.433543,0.575183,0.0,0.0,2.790955,2.525238,2.6580965,0.0042189999999999,0.0340000000000061,ScreenWidget,0.9990155575952372,0.043335328107155464,0.009484989221003728,11.866420326298075,1.2635527491349001,0.40299750679671725,-2.304165,115.579514,left
168,first,0.0999999999999943,-2.997,2,16.0,0.0,0,5,Pause,456.572601,432.433319,17.855448,-4.470229,119.126801,0.410785,-0.57448,2.520438,66.928238,84.63929,-2.107655,115.422058,A_StateManager_2.ScreenWidget,0.0103,-0.044891,0.998932,4.393158,2.356903,-35.378708,0.90931,-0.037674,-0.053497,0.997849,34.584091,2.858429,-35.253128,2.779678,0.401274,0.553922,0.516014,0.06163,-0.035568,0.997452,-27.926239,1.820038,-35.513138,2.484116,0.433572,0.574754,0.0,0.0,2.779678,2.484116,2.6318970000000004,-0.0219804999999997,0.0339999999999918,ScreenWidget,0.998982381553149,0.043973544997904825,0.010026399489128193,10.267455271522433,1.4114710269074906,0.2820280514406273,-2.107655,115.422058,left
168,first,0.132000000000005,-2.964999999999989,2,16.0,0.0,0,5,Pause,459.379913,430.18396,17.845026,-4.465711,119.139313,0.378357,-0.535856,2.548188,66.932304,84.63929,-2.178701,115.502174,A_StateManager_2.ScreenWidget,0.016754,-0.04277,0.998932,0.597351,2.292297,-35.37767,0.915072,-0.036942,-0.053299,0.997894,34.584183,2.854584,-35.216721,2.754593,0.401236,0.553596,0.556732,0.061798,-0.033844,0.997513,-27.929031,1.820343,-35.512756,2.474838,0.433637,0.574447,0.0,0.0,2.754593,2.474838,2.6147155,-0.0391620000000001,0.0320000000000107,ScreenWidget,0.9989674920209249,0.04445766622598826,0.009352315176580223,16.469695765287987,1.4862007031749724,0.5280977729666205,-2.178701,115.502174,left
168,first,0.1659999999999968,-2.9309999999999974,2,16.0,0.0,0,5,Pause,458.36496,431.328461,17.838139,-4.487312,119.139908,0.356634,-0.508193,2.527826,66.916374,84.63929,-2.656033,115.668259,A_StateManager_2.ScreenWidget,0.018692,-0.043488,0.998871,-0.651276,2.268112,-35.357513,0.912034,-0.035812,-0.05484,0.997849,34.587234,2.848099,-35.183685,2.74173,0.400992,0.553717,0.589078,0.060852,-0.034607,0.997543,-27.929031,1.819153,-35.492065,2.475189,0.433788,0.5744,0.0,0.0,2.74173,2.475189,2.6084595,-0.0454180000000001,0.03399999999999179,ScreenWidget,0.9989876230444673,0.044102840429766095,0.008869524789479727,11.341278006233678,1.0102494596224194,0.6670624513597387,-2.656033,115.668259,left
168,first,0.2000000000000028,-2.896999999999992,2,16.0,0.0,0,5,Pause,451.545929,433.701111,17.834749,-4.498029,119.144547,0.38553,-0.503173,2.457373,66.91613,84.63929,-2.878707,115.637596,A_StateManager_2.ScreenWidget,0.018036,-0.042862,0.998917,-0.942917,2.259186,-35.346359,0.928379,-0.037949,-0.053955,0.997818,34.602127,2.842255,-35.160248,2.743881,0.400828,0.55356,0.593737,0.060501,-0.034363,0.997574,-27.921616,1.81662,-35.487625,2.472107,0.433578,0.5744,0.0,0.0,2.743881,2.472107,2.607994,-0.0458835000000004,0.034000000000006,ScreenWidget,0.9990418708281815,0.04287444859030564,0.008781912673455905,7.409284660294772,2.0773200592354604,0.35764815934420596,-2.878707,115.637596,left
168,first,0.2330000000000041,-2.86399999999999,2,16.0,0.0,0,5,Pause,448.364868,433.263062,17.83684,-4.516912,119.14315,0.431229,-0.533294,2.422861,66.913239,84.63929,-2.89423,115.653183,A_StateManager_2.ScreenWidget,0.014908,-0.041458,0.999023,1.06868,2.28801,-35.318817,0.936096,-0.036774,-0.051819,0.997971,34.606674,2.83461,-35.137787,2.74884,0.40049,0.553266,0.605249,0.05957,-0.032394,0.997696,-27.917664,1.815582,-35.475296,2.465698,0.433578,0.573994,0.0,0.0,2.74884,2.465698,2.607269,-0.0466085,0.033000000000001306,ScreenWidget,0.9990627642541987,0.04227246893341651,0.009307601787383268,8.883167647614572,1.3880823324969302,0.57726404113401,-2.89423,115.653183,left
168,first,0.2650000000000005,-2.8319999999999936,2,16.0,0.0,0,5,Pause,448.143097,433.485748,17.845324,-4.520762,119.147133,0.337813,-0.543205,2.433325,66.906578,84.63929,-2.676758,115.733192,A_StateManager_2.ScreenWidget,0.02002,-0.042007,0.998901,-2.933563,2.218521,-35.314484,0.942185,-0.036575,-0.05513,0.997803,34.606674,2.824982,-35.095245,2.758865,0.400472,0.553752,0.609394,0.057663,-0.033203,0.997772,-27.917664,1.814896,-35.460388,2.465698,0.433875,0.573994,0.0,0.0,2.758865,2.465698,2.6122815,-0.0415960000000001,0.03199999999999642,ScreenWidget,0.9990534037986806,0.042454859320184404,0.009480573736536704,14.967947221134258,0.45038346784567335,0.3166367524590558,-2.676758,115.733192,left
168,first,0.2990000000000066,-2.797999999999988,2,16.0,0.0,0,5,Pause,451.249847,434.628723,17.844931,-4.514265,119.148705,0.273305,-0.539202,2.450506,66.901283,84.63929,-2.991947,115.687714,A_StateManager_2.ScreenWidget,0.015869,-0.0439,0.998901,0.411804,2.269516,-35.277252,0.941615,-0.035767,-0.054443,0.997864,34.601395,2.824982,-35.095245,2.752396,0.400543,0.553622,0.619808,0.05867,-0.035065,0.99765,-27.936615,1.808929,-35.428146,2.427917,0.43437,0.574086,0.0,0.0,2.752396,2.427917,2.5901565,-0.0637210000000001,0.03400000000000608,ScreenWidget,0.9990412874760671,0.04275446679062564,0.00941071132337008,14.09667064866619,0.5188358938382884,0.19694167281550534,-2.991947,115.687714,left
