stimulus,side,figure,cube,x,y,z
7,left,M2,10,89.941,-5.975,106.997
7,right,M1,6,97.013,21.427,105.235
7,right,M1,2,99.311,30.004,116.153
7,right,M1,3,98.19,25.82,117.729
7,right,M1,4,97.789,24.321,113.467
7,right,M1,5,97.386,22.82,109.196
7,right,M1,1,100.445,34.234,114.559
7,right,M1,7,92.728,22.576,105.235
7,right,M1,8,88.359,23.746,105.235
7,right,M1,9,84.065,24.897,105.235
7,right,M1,10,82.958,20.762,106.793
8,left,M2,6,94.211,-14.392,102.459
8,left,M2,2,100.576,-15.431,115.148
8,left,M2,3,97.994,-11.743,115.148
8,left,M2,4,96.739,-12.622,110.936
8,left,M2,5,95.486,-13.5,106.734
8,left,M2,1,103.216,-19.201,115.148
8,left,M2,7,90.774,-16.799,103.986
8,left,M2,8,87.472,-19.111,105.453
8,left,M2,9,83.997,-21.544,106.997
8,left,M2,10,81.443,-17.898,106.997
8,right,M2,6,95.611,26.06,102.459
8,right,M2,2,95.693,19.611,115.148
8,right,M2,3,98.876,22.794,115.148
8,right,M2,4,97.792,23.878,110.936
8,right,M2,5,96.711,24.96,106.734
8,right,M2,1,92.439,16.357,115.148
8,right,M2,7,92.644,29.027,103.986
8,right,M2,8,89.793,31.878,105.453
8,right,M2,9,86.793,34.877,106.997
8,right,M2,10,89.941,38.025,106.997
9,left,M3,6,92.777,-23.095,104.092
9,left,M3,2,95.583,-24.092,118.101
9,left,M3,3,99.292,-25.086,115.884
9,left,M3,4,97.121,-24.423,111.955
9,left,M3,5,94.977,-23.767,108.074
9,left,M3,1,91.727,-23.059,120.406
9,left,M3,7,93.971,-18.79,104.159
9,left,M3,8,95.17,-14.465,104.227
9,left,M3,9,96.391,-10.065,104.296
9,left,M3,10,94.205,-9.397,100.34
9,right,M4,6,98.38,27.8,102.101
9,right,M4,2,97.439,35.801,113.971
9,right,M4,3,101.476,33.875,113.904
9,right,M4,4,100.411,31.785,109.843
9,right,M4,5,99.437,29.875,106.132
9,right,M4,1,93.383,37.735,114.039
9,right,M4,7,96.72,24.241,104.369
9,right,M4,8,95.094,20.753,106.591
9,right,M4,9,93.424,17.171,108.872
9,right,M4,10,92.408,15.178,104.999
10,left,M1,6,87.466,-12.233,105.484
