stimulus,side,figure,cube,x,y,mid_x,mid_y,max_dist,radius
1,left,M01,4,-13.207575847933152,106.36542415206684,-12.964138953496942,106.60886104650305,12.291398694471068,29.349850027329545
1,left,M01,3,-13.42940868332029,106.1435913166797,-12.964138953496942,106.60886104650305,12.291398694471068,29.349850027329545
1,left,M01,5,-13.23481065748193,106.33818934251806,-12.964138953496942,106.60886104650305,12.291398694471068,29.349850027329545
1,left,M01,6,-11.110230374937531,108.46276962506246,-12.964138953496942,106.60886104650305,12.291398694471068,29.349850027329545
1,left,M01,1,-4.272807586368977,115.30019241363102,-12.964138953496942,106.60886104650305,12.291398694471068,29.349850027329545
1,left,M01,8,-14.326392713179164,105.24660728682085,-12.964138953496942,106.60886104650305,12.291398694471068,29.349850027329545
1,left,M01,7,-13.282308542343849,106.29069145765617,-12.964138953496942,106.60886104650305,12.291398694471068,29.349850027329545
1,left,M01,2,-9.07472965694571,110.49827034305429,-12.964138953496942,106.60886104650305,12.291398694471068,29.349850027329545
1,left,M01,9,-16.45532835141317,103.11767164858684,-12.964138953496942,106.60886104650305,12.291398694471068,29.349850027329545
1,left,M01,10,-21.247797121045654,98.32520287895434,-12.964138953496942,106.60886104650305,12.291398694471068,29.349850027329545
2,left,M01,4,-13.210008547972958,106.36299145202705,-12.945234301143401,106.62776569885659,12.316833842049274,29.468145156384043
2,left,M01,3,-13.441908995424836,106.13109100457515,-12.945234301143401,106.62776569885659,12.316833842049274,29.468145156384043
2,left,M01,1,-4.235917568682407,115.3370824313176,-12.945234301143401,106.62776569885659,12.316833842049274,29.468145156384043
2,left,M01,2,-9.0293805807795,110.5436194192205,-12.945234301143401,106.62776569885659,12.316833842049274,29.468145156384043
2,left,M01,7,-13.238546500445237,106.33445349955475,-12.945234301143401,106.62776569885659,12.316833842049274,29.468145156384043
2,left,M01,6,-11.077272907322804,108.4957270926772,-12.945234301143401,106.62776569885659,12.316833842049274,29.468145156384043
2,left,M01,5,-13.212300765397604,106.3606992346024,-12.945234301143401,106.62776569885659,12.316833842049274,29.468145156384043
2,left,M01,8,-14.323400961595231,105.24959903840475,-12.945234301143401,106.62776569885659,12.316833842049274,29.468145156384043
2,left,M01,10,-21.213019849011182,98.35998015098882,-12.945234301143401,106.62776569885659,12.316833842049274,29.468145156384043
2,left,M01,9,-16.470586334802253,103.10241366519774,-12.945234301143401,106.62776569885659,12.316833842049274,29.468145156384043
3,left,M02,8,-14.90322990926412,104.66977009073588,-13.39685565565307,106.17614434434695,10.77502551190013,29.901990677660653
3,left,M02,7,-11.662855943137668,107.91014405686234,-13.39685565565307,106.17614434434695,10.77502551190013,29.901990677660653
3,left,M02,1,-15.478835586023742,104.09416441397626,-13.39685565565307,106.17614434434695,10.77502551190013,29.901990677660653
3,left,M02,2,-14.646399460146217,104.92660053985378,-13.39685565565307,106.17614434434695,10.77502551190013,29.901990677660653
3,left,M02,3,-11.07603265282999,108.49696734717,-13.39685565565307,106.17614434434695,10.77502551190013,29.901990677660653
3,left,M02,4,-10.193651895849232,109.37934810415076,-13.39685565565307,106.17614434434695,10.77502551190013,29.901990677660653
3,left,M02,5,-9.077241924584506,110.4957580754155,-13.39685565565307,106.17614434434695,10.77502551190013,29.901990677660653
3,left,M02,6,-7.654302519764116,111.91869748023588,-13.39685565565307,106.17614434434695,10.77502551190013,29.901990677660653
3,left,M02,9,-21.01594926257569,98.5570507374243,-13.39685565565307,106.17614434434695,10.77502551190013,29.901990677660653
3,left,M02,10,-18.260057402355443,101.31294259764456,-13.39685565565307,106.17614434434695,10.77502551190013,29.901990677660653
4,left,M02,7,-11.61701187787676,107.95598812212324,-13.466780539554751,106.10621946044526,10.624701207147211,29.6424160831936
4,left,M02,10,-18.19785367796573,101.37514632203428,-13.466780539554751,106.10621946044526,10.624701207147211,29.6424160831936
4,left,M02,9,-20.97957881120943,98.59342118879056,-13.466780539554751,106.10621946044526,10.624701207147211,29.6424160831936
4,left,M02,8,-14.871815409245803,104.7011845907542,-13.466780539554751,106.10621946044526,10.624701207147211,29.6424160831936
4,left,M02,6,-7.597030056778461,111.97596994322154,-13.466780539554751,106.10621946044526,10.624701207147211,29.6424160831936
4,left,M02,5,-9.622352165000075,109.95064783499993,-13.466780539554751,106.10621946044526,10.624701207147211,29.6424160831936
4,left,M02,4,-10.4782883084562,109.0947116915438,-13.466780539554751,106.10621946044526,10.624701207147211,29.6424160831936
4,left,M02,3,-11.32487269301476,108.24812730698524,-13.466780539554751,106.10621946044526,10.624701207147211,29.6424160831936
4,left,M02,2,-14.565472617280124,105.00752738271989,-13.466780539554751,106.10621946044526,10.624701207147211,29.6424160831936
4,left,M02,1,-15.413529778720168,104.15947022127985,-13.466780539554751,106.10621946044526,10.624701207147211,29.6424160831936
5,left,M01,3,-14.14066797269038,105.43233202730964,-13.003344033042357,106.56965596695765,14.503214701011261,29.602926304862436
5,left,M01,2,-18.8570242973787,100.71597570262132,-13.003344033042357,106.56965596695765,14.503214701011261,29.602926304862436
5,left,M01,1,-23.258665497131844,96.31433450286816,-13.003344033042357,106.56965596695765,14.503214701011261,29.602926304862436
5,left,M01,9,-9.19113836285921,110.3818616371408,-13.003344033042357,106.56965596695765,14.503214701011261,29.602926304862436
5,left,M01,10,-5.490117952718236,114.08288204728176,-13.003344033042357,106.56965596695765,14.503214701011261,29.602926304862436
5,left,M01,7,-9.50910898334585,110.06389101665415,-13.003344033042357,106.56965596695765,14.503214701011261,29.602926304862436
