ID,cond,time,rel_time,dimension,stimulus,onset,controllerleftclick,controllerrightclick,stimulus_ue,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide
186,second,0.0,-3.0429999999999993,3,10,0.0,0,3,Pause,,,4.489896,1.221931,115.088844,2.184914,3.817891,2.437576,156.415253,160.768723,5.083246,120.355286,partitionwall_15.StaticMeshComponent0 partitionwall,0.014816,-0.033356,0.999329,22.854782,1.520721,-22.475708,1.0,0.009399,-0.034805,0.999344,31.187637,1.38295,-22.410706,3.984711,0.531859,0.481172,1.0,0.048462,-0.024429,0.99852,-28.828568,2.375275,-22.878876,4.117981,0.457106,0.434509,0.206895,0.206895
186,second,0.02200000000000557,-3.0209999999999937,3,10,0.0,0,3,Pause,,,4.498449,1.225531,115.078903,2.182409,3.804634,2.440558,156.415024,160.768723,5.55508,120.227135,partitionwall_15.StaticMeshComponent0 partitionwall,0.014389,-0.033371,0.999329,24.007568,1.501862,-22.454437,1.0,0.00972,-0.034653,0.999344,31.191391,1.382797,-22.399033,3.985077,0.531685,0.481057,1.0,0.048752,-0.023987,0.99852,-28.833939,2.377625,-22.86203,4.108673,0.457221,0.434212,0.206923,0.206923
186,second,0.044000000000004036,-2.9989999999999952,3,10,0.0,0,3,Pause,,,4.501825,1.222324,115.078545,2.178857,3.80505,2.430909,156.411865,160.768723,5.592427,120.198952,partitionwall_15.StaticMeshComponent0 partitionwall,0.016663,-0.032852,0.999313,21.501068,1.543076,-22.46727,1.0,0.010284,-0.034256,0.999359,31.198517,1.380569,-22.392914,3.961624,0.531386,0.48099,1.0,0.049759,-0.025574,0.998428,-28.840607,2.386688,-22.853256,4.10965,0.45727,0.434118,0.205538,0.205538
186,second,0.06700000000000017,-2.975999999999999,3,10,0.0,0,3,Pause,,,4.503304,1.224351,115.073463,2.18089,3.815583,2.416926,156.403931,160.768723,5.201176,120.315956,partitionwall_15.StaticMeshComponent0 partitionwall,0.021744,-0.02977,0.999313,13.725815,1.663513,-22.480637,1.0,0.009125,-0.032379,0.99942,31.206589,1.366623,-22.327667,3.963089,0.531309,0.480576,1.0,0.05246,-0.023376,0.998337,-28.854568,2.386688,-22.853256,4.107407,0.457271,0.43374,0.204492,0.204492
186,second,0.08800000000000097,-2.9549999999999983,3,10,0.0,0,3,Pause,,,4.509523,1.2182,115.075974,2.182118,3.847657,2.415182,156.399597,160.768723,4.395696,120.889145,partitionwall_15.StaticMeshComponent0 partitionwall,0.025299,-0.026611,0.999313,10.378403,1.72052,-22.500916,1.0,0.010269,-0.028992,0.999512,31.214279,1.366623,-22.313828,3.963043,0.530875,0.479896,1.0,0.053604,-0.02211,0.998306,-28.861694,2.387009,-22.853256,4.10524,0.457308,0.433519,0.21038,0.21038
186,second,0.10999999999999943,-2.933,3,10,0.0,0,3,Pause,,,4.512736,1.209033,115.076385,2.180468,3.881992,2.396942,156.406723,160.768707,3.781522,121.441048,partitionwall_15.StaticMeshComponent0 partitionwall,0.026215,-0.025055,0.999329,9.517105,1.739212,-22.506882,1.0,0.010086,-0.027954,0.999557,31.222672,1.366623,-22.298828,3.957214,0.53064,0.479595,1.0,0.054749,-0.019897,0.998291,-28.87027,2.398148,-22.874832,4.105331,0.45739,0.432974,0.211405,0.211405
186,second,0.13300000000000267,-2.9099999999999966,3,10,0.0,0,3,Pause,,,4.515851,1.206017,115.08429,2.167193,3.920556,2.36148,156.413864,160.768707,3.538974,121.784386,partitionwall_15.StaticMeshComponent0 partitionwall,0.022034,-0.025436,0.99942,14.883408,1.64978,-22.460953,1.0,0.009949,-0.027878,0.999557,31.235092,1.367142,-22.298828,3.963715,0.530255,0.479568,1.0,0.054382,-0.018906,0.998337,-28.874557,2.406158,-22.894836,4.105347,0.457585,0.432714,0.224748,0.224748
186,second,0.15500000000000114,-2.887999999999998,3,10,0.0,0,3,Pause,,,4.51847,1.199496,115.087746,2.147306,3.985668,2.350023,156.427048,160.768707,4.15484,121.909302,partitionwall_15.StaticMeshComponent0 partitionwall,0.019852,-0.026199,0.999451,16.407455,1.628113,-22.450531,1.0,0.008698,-0.028702,0.999542,31.243332,1.371185,-22.298828,3.956238,0.530203,0.479568,1.0,0.053925,-0.01857,0.998367,-28.878616,2.412415,-22.913605,4.068466,0.457757,0.432559,0.239737,0.239737
186,second,0.1769999999999996,-2.8659999999999997,3,10,0.0,0,3,Pause,,,4.525709,1.188385,115.08522,2.111583,4.048697,2.329853,156.429047,160.768707,4.429843,121.988663,partitionwall_15.StaticMeshComponent0 partitionwall,0.016251,-0.026657,0.999512,19.956558,1.57222,-22.416016,1.0,0.007736,-0.028427,0.999557,31.2491,1.376938,-22.298828,3.945694,0.530185,0.479332,1.0,0.053055,-0.019028,0.998398,-28.880081,2.416733,-22.922882,4.044815,0.457927,0.432552,0.233932,0.233932
186,second,0.20000000000000284,-2.8429999999999964,3,10,0.0,0,3,Pause,,,4.536489,1.177824,115.092484,2.078438,4.089876,2.292137,156.432465,160.768723,4.879086,122.084846,partitionwall_15.StaticMeshComponent0 partitionwall,0.019638,-0.027527,0.99942,16.049713,1.643005,-22.456848,1.0,0.008514,-0.030396,0.999496,31.249619,1.381256,-22.299194,3.93959,0.530047,0.479516,1.0,0.052505,-0.019043,0.998428,-28.882019,2.416733,-22.922882,4.044785,0.458077,0.432552,0.234945,0.234945
