ID,cond,time,rel_time,dimension,stimulus,onset,controllerleftclick,controllerrightclick,stimulus_ue,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide
175,first,0.0,-3.0220000000000056,2,16,0.0,0,4,Pause,458.158752,606.000061,-26.430264,4.963815,124.277267,-4.461711,-3.744753,-0.222491,111.241219,84.63929,1.043011,129.051193,A_StateManager_2.ScreenWidget,0.030945,0.109741,0.993469,4.475464,2.265747,-30.435883,1.0,0.001068,0.115265,0.993332,33.832169,3.685791,-29.559021,2.901672,0.465962,0.440636,1.0,0.066788,0.102966,0.992432,-30.78035,0.560333,-31.488968,2.941528,0.494662,0.551555,0.587764,0.587764
175,first,0.034000000000006025,-2.9879999999999995,2,16,0.0,0,4,Pause,504.389404,624.885864,-26.449755,4.965842,124.277969,-4.420804,-3.777197,-0.250341,111.267357,84.63929,1.02024,129.185501,A_StateManager_2.ScreenWidget,0.029526,0.108063,0.993698,4.30838,2.239578,-30.391495,1.0,0.000717,0.116241,0.99321,33.837326,3.679565,-29.554352,2.898285,0.465844,0.440658,1.0,0.063751,0.098206,0.993118,-30.79126,0.527939,-31.386566,2.949265,0.495496,0.552409,0.587506,0.587506
175,first,0.0660000000000025,-2.956000000000003,2,16,0.0,0,4,Pause,504.064117,626.804565,-26.459255,4.969609,124.270416,-4.398703,-3.793214,-0.237384,111.260956,84.63929,1.208396,128.957352,A_StateManager_2.ScreenWidget,0.033768,0.104553,0.993942,-0.548447,2.001251,-30.520554,1.0,-0.000412,0.115662,0.993286,33.841644,3.675964,-29.536179,2.89473,0.465874,0.440698,1.0,0.063828,0.094666,0.993454,-30.804108,0.527878,-31.386566,2.927628,0.495909,0.552907,0.580622,0.580622
175,first,0.10000000000000142,-2.922000000000004,2,16,0.0,0,4,Pause,506.752075,623.545288,-26.458427,4.976988,124.279236,-4.463028,-3.81115,-0.224894,111.258904,84.63929,0.766569,128.535126,A_StateManager_2.ScreenWidget,-0.000549,0.091705,0.995773,11.794189,2.502335,-30.184937,1.0,-0.026047,0.096405,0.994995,33.680847,3.605225,-29.616394,2.733871,0.475259,0.446275,1.0,0.049194,0.082367,0.995377,-30.929794,0.349411,-31.294754,2.952484,0.502511,0.560051,0.580944,0.580944
175,first,0.13400000000000034,-2.8880000000000052,2,16,0.0,0,4,Pause,500.440216,617.513489,-26.462355,4.975748,124.265762,-4.429609,-3.83636,-0.189107,111.136826,84.639282,4.676201,127.045639,A_StateManager_2.ScreenWidget,0.001801,-0.01503,0.999878,-29.881973,0.193283,-31.541214,1.0,-0.072342,-0.006241,0.99736,33.230194,3.468536,-30.119827,2.804062,0.497192,0.470435,1.0,0.00325,-0.015198,0.999878,-31.11908,0.129074,-31.569077,2.876343,0.516234,0.585171,0.527442,0.527442
175,first,0.16600000000000392,-2.8560000000000016,2,16,0.0,0,4,Pause,556.292114,596.235107,-26.465664,4.980302,124.264488,-4.432252,-3.842227,-0.184525,111.48629,84.639282,4.42273,115.068275,A_StateManager_2.ScreenWidget,-0.031387,-0.009384,0.999451,-3.233322,1.513855,-30.712601,1.0,-0.076508,-0.009842,0.997009,33.282974,3.415375,-29.946762,2.801331,0.496032,0.471221,1.0,0.003143,-0.009018,0.999954,-31.142136,0.060562,-31.297928,2.887985,0.516956,0.583917,0.448188,0.448188
175,first,0.19900000000000517,-2.8230000000000004,2,16,0.0,0,4,Pause,552.671082,425.129913,-26.477734,4.98451,124.266541,-4.420669,-3.845109,-0.20574,111.496773,84.639282,8.074192,115.606842,A_StateManager_2.ScreenWidget,-0.07254,-0.005219,0.997345,29.283615,3.216705,-30.042618,1.0,-0.07753,-0.004425,0.996979,33.298035,3.415375,-29.928864,2.800842,0.495673,0.470271,1.0,0.002838,-0.017212,0.999847,-31.1577,0.22554,-31.755356,2.889664,0.517704,0.584035,0.525004,0.525004
175,first,0.23200000000000642,-2.789999999999999,2,16,0.0,0,4,Pause,604.834839,432.82373,-26.48122,4.99171,124.273155,-4.359726,-3.808097,-0.199343,111.682793,84.639282,12.685085,116.143341,A_StateManager_2.ScreenWidget,-0.076248,-0.004395,0.99707,31.474731,3.323349,-29.957123,1.0,-0.078522,-0.004074,0.996902,33.308441,3.413712,-29.902679,2.801208,0.495468,0.470048,1.0,0.001617,-0.015411,0.999878,-31.163376,0.236572,-31.816467,2.889114,0.518111,0.583974,0.557851,0.557851
175,first,0.26600000000000534,-2.7560000000000002,2,16,0.0,0,4,Pause,670.704773,440.488007,-26.471849,4.998517,124.278091,-4.348422,-3.805699,-0.185003,111.702049,84.639282,13.13446,116.186676,A_StateManager_2.ScreenWidget,-0.031982,-0.010254,0.999435,-5.445526,1.505249,-31.070206,1.0,-0.079727,-0.00322,0.996796,33.31871,3.415497,-29.928864,2.813019,0.495273,0.470112,1.0,-0.000259,-0.014908,0.999878,-31.169327,0.237625,-31.827576,2.889053,0.518612,0.583974,0.535789,0.535789
175,first,0.2990000000000066,-2.722999999999999,2,16,0.0,0,4,Pause,677.12439,441.107056,-26.455637,5.000198,124.276268,-4.357257,-3.842992,-0.190198,111.474045,84.639282,8.185761,115.660416,A_StateManager_2.ScreenWidget,-0.028351,-0.010757,0.999527,-7.735489,1.399414,-31.161072,1.0,-0.078613,-0.003464,0.996887,33.333679,3.418854,-29.94191,2.824738,0.494577,0.470168,1.0,0.000366,-0.014908,0.999878,-31.180054,0.246613,-31.857025,2.912704,0.518915,0.583992,0.506776,0.506776
175,first,0.3330000000000055,-2.689,2,16,0.0,0,4,Pause,606.428711,433.58905,-26.439873,4.994714,124.261452,-4.344044,-3.898248,-0.18923,111.4701,84.639282,7.777752,115.358604,A_StateManager_2.ScreenWidget,-0.03093,-0.135956,0.990219,3.459991,1.30278,-30.780853,1.0,-0.070786,-0.137344,0.987976,33.10318,2.872787,-30.302078,2.867249,0.501093,0.511855,1.0,0.015182,-0.134079,0.990845,-30.813965,-0.512466,-31.334412,2.990784,0.504059,0.62393,0.478509,0.478509
175,first,0.36599999999999966,-2.656000000000006,2,16,0.0,0,4,Pause,600.599976,429.277466,-26.421669,4.982734,124.234138,-4.34745,-4.037673,-0.246096,113.523132,84.639282,7.965062,100.908783,A_StateManager_2.ScreenWidget,0.01123,-0.136536,0.99057,-30.909698,-0.600388,-31.334854,0.936372,-0.066391,-0.164688,0.9841,33.124069,2.985687,-30.768524,2.85817,0.499661,0.516441,0.816955,0.011246,-0.13652,0.99057,-30.919785,-0.600952,-31.334946,2.887039,0.508264,0.62728,0.0,0.0
175,first,0.3990000000000009,-2.6230000000000047,2,16,0.0,0,4,Pause,603.275818,222.851456,-26.400467,4.968452,124.200844,-4.35737,-4.113973,-0.308061,113.520477,84.63929,3.100804,100.672485,A_StateManager_2.ScreenWidget,0.016693,-0.139801,0.990036,-29.811829,-0.575272,-31.144882,0.904302,-0.068604,-0.166962,0.983566,33.162308,2.97348,-30.594833,2.863815,0.498696,0.515609,0.800757,0.01828,-0.139297,0.990067,-30.980148,-0.641113,-31.155075,2.982452,0.509293,0.627354,0.0,0.0
175,first,0.43299999999999983,-2.5890000000000057,2,16,0.0,0,4,Pause,533.786438,219.475662,-26.368919,4.961026,124.20089,-4.371008,-4.112354,-0.324365,113.58075,84.63929,2.448,100.295868,A_StateManager_2.ScreenWidget,-0.017166,-0.152725,0.988113,-5.166565,0.847565,-31.024704,0.94067,-0.065674,-0.165497,0.984009,33.174316,2.973145,-30.595474,2.875107,0.49783,0.515405,0.836975,0.015564,-0.14389,0.989456,-31.033005,-0.586426,-31.314285,2.939758,0.511558,0.627793,0.0,0.0
175,first,0.45700000000000074,-2.565000000000005,2,16,0.0,0,4,Pause,524.460693,214.09552,-26.356825,4.956841,124.18586,-4.377121,-4.122592,-0.32275,113.882126,84.639282,6.245131,98.742966,A_StateManager_2.ScreenWidget,-0.011154,-0.149445,0.988693,-9.803162,0.573334,-31.054474,0.951785,-0.065857,-0.156738,0.985428,33.194061,2.90892,-30.445663,2.884659,0.497187,0.514893,0.860695,0.015854,-0.145676,0.989197,-31.042053,-0.580338,-31.355209,2.965652,0.511863,0.628322,0.0,0.0
175,first,0.47800000000000153,-2.544000000000004,2,16,0.0,0,4,Pause,578.705444,191.911209,-26.350304,4.949462,124.176285,-4.403041,-4.156457,-0.332632,113.800011,84.639282,5.542308,99.048538,A_StateManager_2.ScreenWidget,0.00415,-0.144379,0.989502,-20.941483,-0.035477,-31.231903,0.94713,-0.069183,-0.153671,0.985687,33.201492,2.873245,-30.346054,2.802582,0.497557,0.514632,0.897779,0.017853,-0.142563,0.989624,-31.05246,-0.578674,-31.397339,2.974243,0.511934,0.628205,0.0,0.0
175,first,0.5,-2.5220000000000056,2,16,0.0,0,4,Pause,568.6651,196.27652,-26.340256,4.949594,124.159409,-4.418068,-4.168826,-0.315684,113.668449,84.639282,3.858811,99.606064,A_StateManager_2.ScreenWidget,0.007111,-0.144394,0.989487,-23.291962,-0.162445,-31.254044,0.961548,-0.071838,-0.152527,0.985672,33.214813,2.900772,-30.371033,2.867325,0.497402,0.513833,0.874082,0.01796,-0.143204,0.989517,-31.059525,-0.583527,-31.375427,2.972427,0.512154,0.628248,0.0,0.0
175,first,0.5220000000000056,-2.5,2,16,0.0,0,4,Pause,544.615112,204.241074,-26.327232,4.953289,124.17083,-4.416967,-4.179147,-0.274022,113.66217,84.63929,3.613865,99.600021,A_StateManager_2.ScreenWidget,-0.006714,-0.144974,0.98941,-13.645203,0.362396,-31.093262,0.976609,-0.071548,-0.150742,0.985977,33.220657,2.915314,-30.374664,2.89653,0.49712,0.513137,0.891413,0.01738,-0.14267,0.989609,-31.063797,-0.586426,-31.360336,2.98082,0.512394,0.628114,0.0,0.0
175,first,0.5450000000000017,-2.477000000000004,2,16,0.0,0,4,Pause,541.115906,204.154861,-26.321945,4.957914,124.172089,-4.391263,-4.184529,-0.265227,113.664856,84.639282,5.185851,99.529617,A_StateManager_2.ScreenWidget,-0.014359,-0.147095,0.989014,-7.844162,0.673355,-30.972641,0.974386,-0.071121,-0.156158,0.985153,33.245346,2.906982,-30.329422,2.817123,0.496326,0.513724,0.886003,0.017731,-0.141754,0.989731,-31.071411,-0.589264,-31.336227,3.00383,0.512612,0.627853,0.0,0.0
175,first,0.5670000000000002,-2.4550000000000054,2,16,0.0,0,4,Pause,563.572876,203.149078,-26.323601,4.961646,124.170647,-4.369303,-4.225517,-0.245533,113.745232,84.639282,6.086529,99.191673,A_StateManager_2.ScreenWidget,-0.016418,-0.143219,0.989548,-8.039291,0.654068,-30.974396,1.0,-0.070816,-0.15239,0.985764,33.258011,2.897324,-30.381241,2.839432,0.495801,0.513988,1.0,0.013947,-0.137894,0.990341,-31.085419,-0.597763,-31.30542,3.032791,0.513695,0.627248,0.065869,0.065869
175,first,0.5890000000000057,-2.433,2,16,0.0,0,4,Pause,576.439636,198.321426,-26.330523,4.963708,124.175171,-4.362316,-4.281292,-0.248439,113.680496,84.639282,6.313356,99.534981,A_StateManager_2.ScreenWidget,-0.027924,-0.14209,0.989456,-0.217026,1.060959,-30.819382,1.0,-0.070755,-0.150528,0.986069,33.264572,2.899246,-30.401093,2.820633,0.495589,0.513798,1.0,0.011627,-0.134064,0.990891,-31.095734,-0.634415,-31.205154,3.045776,0.514384,0.626892,0.022916,0.022916
175,first,0.6120000000000019,-2.4100000000000037,2,16,0.0,0,4,Pause,579.680054,203.225708,-26.330254,4.962647,124.177895,-4.340555,-4.313735,-0.262881,113.688202,84.639282,7.573994,99.602463,A_StateManager_2.ScreenWidget,-0.037125,-0.142242,0.98912,6.758865,1.428101,-30.699524,1.0,-0.07106,-0.149872,0.986145,33.265381,2.901108,-30.41629,2.842697,0.495572,0.513798,1.0,0.011414,-0.131058,0.991302,-31.099014,-0.675705,-31.104034,3.049072,0.514498,0.626806,0.025868,0.025868
175,first,0.6360000000000028,-2.386000000000003,2,16,0.0,0,4,Pause,597.689148,204.189728,-26.336691,4.960537,124.182388,-4.313388,-4.347449,-0.255373,113.745872,84.639282,8.619965,99.503174,A_StateManager_2.ScreenWidget,-0.053116,-0.145004,0.987991,18.671768,2.088791,-30.556244,1.0,-0.071701,-0.149246,0.986191,33.269501,2.908783,-30.429672,2.823166,0.495553,0.513538,1.0,0.010345,-0.130127,0.99144,-31.100754,-0.707016,-30.987823,3.058319,0.514688,0.626549,0.021365,0.021365
175,first,0.6570000000000036,-2.365000000000002,2,16,0.0,0,4,Pause,612.631592,202.771317,-26.34841,4.951167,124.198463,-4.273557,-4.341309,-0.24275,113.902779,84.639282,10.43612,99.188599,A_StateManager_2.ScreenWidget,-0.058334,-0.146423,0.987488,22.454437,2.294327,-30.492126,0.999061,-0.072357,-0.149536,0.986099,33.27211,2.910263,-30.424973,2.842712,0.495534,0.513517,0.943645,0.011292,-0.130615,0.991364,-31.10788,-0.755325,-30.824585,3.072861,0.514747,0.626641,0.0,0.0
