ID,dimension,condition,stimulus,Correct,RT,Response,Mean fixation duration,Mean regressive fixation duration,Equal fixation duration between figures,Equal fixation duration within figure,Mean saccade duration,Mean saccade velocity,Mean pupil diameter,Pupil diameter amplitude,Mean head rotation,Mean head movement,Strategy ratio,Equal?,AngularDisp,DiffType
172,2,first,14,1,10.917000000000002,1,0.17185714285714257,0.15257142857142617,0.8905513992796035,0.417082917082938,0.057142857142855205,214.57053990305212,-0.029825564417178083,0.30075049999999937,0.9710214934545789,0.4414877850594501,1.2,1,40,e
172,3,second,14,1,2.665999999999997,1,0.14175000000000887,0.16700000000001575,0.9417989417988681,0.0,0.05242857142857,279.4231126389318,-0.1377279753086421,0.36666850000000023,12.19644285409509,2.6790609049357914,0.0,1,40,e
174,2,first,14,1,3.614000000000004,1,0.1971249999999962,0.0,0.6011414077362063,0.4683544303797149,0.042888888888888366,253.99390180294935,0.06009079496402886,0.1496504999999998,1.1089283909154248,0.3749336672279376,0.0,1,40,e
174,3,second,14,1,2.7299999999999613,1,0.21250000000000094,0.1859999999999928,0.8627450980392298,0.1818181818182193,0.04437499999999513,262.0963220967642,0.03648091752577317,0.5671844999999996,1.1042709583570496,0.34660276247726174,0.0,1,40,e
175,2,first,14,0,3.0849999999999937,0,0.17388888888888862,0.0,0.7373801916933076,0.7874493927125539,0.0333750000000021,194.25224984944057,-0.046112418032786824,0.529122,1.4856887639665504,0.4870978635655941,3.0,1,40,e
175,3,second,14,1,1.8880000000000048,1,0.17780000000000193,0.0,0.6006749156355934,0.8628814391846116,0.027624999999996853,223.12493737898367,-0.25614643023255795,0.29580699999999993,1.274623048429611,0.48307938004491346,0.3333333333333333,1,40,e
177,2,second,14,1,1.9249999999999967,1,0.17366666666666455,0.0,0.42226487523992606,0.0,0.036833333333329145,303.48981973088604,-0.11216541447368386,0.2140654999999997,0.6614681600522277,0.2477759852987584,0.0,1,40,e
177,3,first,14,1,2.2939999999999827,1,0.2424000000000035,0.0,0.8465346534654368,0.3254901960784309,0.034166666666663986,312.4887955471361,-0.2826547857142855,0.40032900000000016,0.7609858613548879,0.22842735762928074,1.0,1,40,e
178,2,first,14,1,4.083999999999975,1,0.1816000000000031,0.0,0.8083700440528594,0.613678373382653,0.04290909090909422,288.76682970755695,0.19523332936507934,0.6428599999999998,3.1358133575226748,0.62390719329186,1.0,1,40,e
178,3,second,14,1,1.9019999999999868,1,0.1662500000000193,0.0,0.0,0.4000000000000685,0.04719999999999799,276.89545453302907,0.05408056034482739,0.2377699999999997,2.5530842307757844,0.6478747974144442,3.0,1,40,e
180,2,first,14,1,2.298000000000002,1,0.24400000000000444,0.0,0.36338797814209634,0.0,0.06699999999999655,247.18990128364007,0.10425824285714294,0.2314375000000001,0.6686850157377084,0.3018551827877495,0.0,1,40,e
180,3,second,14,1,6.349999999999966,1,0.18880000000000333,0.1442499999999853,0.9406779661016736,0.2814129919393181,0.08929999999999719,250.0776990896739,-0.18409123604060867,0.40164199999999983,3.901964913512322,1.5712878053880421,1.1666666666666667,1,40,e
183,2,second,14,1,1.8029999999999973,1,0.17766666666665995,0.0,0.49906191369608865,0.0,0.03320000000000216,303.40171336506376,0.09862796363636367,0.2414399999999998,0.9660696984921618,0.3731018044174902,1.0,1,40,e
183,3,first,14,1,1.7660000000000196,1,0.2995000000000089,0.0,0.0,0.3372287145241937,0.0443333333333318,254.87106846287733,0.2206810156249998,0.16124000000000027,8.776548470045043,2.5371006938378624,1.0,1,40,e
184,2,first,14,1,5.677999999999997,1,0.19630769230769388,0.1330000000000097,0.9231974921630219,0.3200339558573867,0.045888888888891616,237.63153492238754,-0.1826260346320344,0.208275,0.892133135486381,0.3691132155552155,1.0,1,40,e
184,3,second,14,1,3.823000000000036,1,0.24366666666666484,0.0,0.5864113087095612,0.7407695780866084,0.04527272727272637,307.0202075518251,-0.12888121428571453,0.5406570000000003,1.0507176025903153,0.42502476484219115,0.125,1,40,e
186,2,first,14,1,2.894999999999982,1,0.24125000000000082,0.0,0.6196891191709958,0.2575250836120759,0.05233333333333685,241.51151593263373,0.15357343560606096,0.5395815,0.9295135445214052,0.30584893571499394,0.3333333333333333,1,40,e
186,3,second,14,1,2.584000000000003,1,0.1850000000000117,0.0,0.891891891891946,0.6358216309436758,0.06080000000001175,303.77210077363287,-0.2595192102272723,0.5086899999999996,3.668446129487236,1.2971815796568174,0.2,1,40,e
188,2,first,14,1,4.093999999999994,1,0.16079999999999894,0.0,0.6318407960199165,0.19685039370080037,0.0515555555555601,284.45769331028464,-0.03531296544715464,0.4385524999999996,1.1749736011883078,0.4077406234383405,0.5,1,40,e
188,3,second,14,1,7.064000000000021,1,0.20743749999999925,0.1670000000000016,0.47243145525760444,0.4713027814676069,0.042000000000001564,218.88353230181113,0.10465814716981062,0.3578645000000006,1.5098134263579053,0.6082251549476699,1.0,1,40,e
189,2,second,14,1,0.9890000000000044,1,0.1516666666666637,0.0,0.9274725274725077,0.0,0.03849999999999905,269.8782636717317,-0.0240249024390247,0.0892489999999998,0.9917924053477531,0.2636150365442297,0.0,1,40,e
189,3,first,14,1,2.865999999999985,1,0.11650000000000199,0.0,0.0,0.0,0.05566666666667189,212.30768266572258,0.48299940588235285,0.6973189999999994,14.746969006827978,6.428050102586622,1.0,1,40,e
190,2,first,14,1,10.006,1,0.23366666666666988,0.3330000000000268,0.9639290809048782,0.2105708245243194,0.0483888888888941,210.86415464848432,0.058409965805470886,0.2543789999999996,2.1884575904525936,0.5855785748151264,1.3333333333333333,1,40,e
190,3,second,14,1,7.805000000000007,1,0.24207692307693113,0.308400000000006,0.339370829361316,0.14772292384231112,0.05499999999999733,187.23689794599053,-0.23750903699551526,0.3794780000000002,1.3258145348262096,0.4244036588865948,5.0,1,40,e
