ID,dimension,condition,stimulus,Number of Fixations,Mean fixation rate,Number of Saccades,Mean saccade rate,Mean fixation duration during head movement,Mean distance to figure,Mean angle around figure,Mean horizontal head movement
100,2,first,1,8,2.628984554715748,7,2.3003614853762793,0.2439999999999997,105.08978003045414,1.4732200462027651,2.594181779527559
100,2,first,2,8,1.9417475728155384,7,1.6990291262135961,0.15549999999999636,105.29953640975472,1.2733007612819587,2.2741597988165676
100,2,first,3,10,1.6658337497917748,4,0.6663334999167099,0.4555000000000006,105.14878549079636,1.266638465444259,2.2253492559055115
100,2,first,4,17,2.3779549587354873,10,1.3987970345502865,0.1380000000000052,103.26990139491672,1.8629535975085374,2.325121478827362
100,2,first,5,7,1.8286311389759786,4,1.044932079414845,0.1519999999999868,103.03645426811813,2.0070844732221977,2.4529181875
100,2,first,6,5,2.153316106804476,4,1.7226528854435812,0.1479999999999961,104.29731059607305,1.4436350653994472,2.175362471698113
100,2,first,7,15,1.9374838543012165,11,1.4208214931542256,0.15000000000000566,104.33210655323806,1.4090139674926523,2.117084006116208
100,2,first,8,13,2.3796448837634965,7,1.2813472451034211,0.1780000000000114,105.2095455637385,1.2348027262970598,2.184282327659574
100,2,first,9,7,1.9880715705765484,8,2.2720817949446266,,104.51117921587829,1.4771893687903463,2.36342033125
100,2,first,10,13,2.363206689692769,11,1.9996364297400353,0.23820000000000618,102.9772189775146,2.041869752403247,2.487437942982456
100,2,first,11,10,2.472799208704255,9,2.2255192878338295,0.154999999999994,105.00826726886184,1.3826095182760467,2.4081946022727276
100,2,first,12,5,2.0275750202757434,5,2.0275750202757434,0.12150000000001171,103.18310811626226,1.9687161320614375,2.482495474226804
100,2,first,13,7,2.781088597536723,6,2.3837902264600483,0.11150000000000655,103.36387019901947,1.8467385823001021,2.360677743119266
100,2,first,14,9,3.282275711159716,8,2.9175784099197473,0.1100000000000136,104.57938052903066,1.1573178014038572,1.7216305759999997
100,2,first,15,13,2.635847526358474,11,2.2303325223033243,,105.34780794411903,1.4513744668171853,2.6078605707547164
100,2,first,16,9,2.643948296122212,6,1.762632197414808,0.15449999999999894,105.54110970085168,1.3449519199050608,2.44684872027972
100,2,first,17,11,2.7227722772277283,6,1.485148514851488,0.1099999999999852,103.71896101505739,1.4805903177725288,1.7562814152046784
100,2,first,18,11,2.2859517871986643,7,1.4546965918536956,0.22049999999998704,103.31038023996692,1.845995125467296,2.2665843248730964
