ID,dimension,condition,stimulus,Correct,RT,Response,Mean fixation duration,Mean regressive fixation duration,Equal fixation duration between figures,Equal fixation duration within figure,Mean saccade duration,Mean saccade velocity,Mean pupil diameter,Pupil diameter amplitude,Mean head rotation,Mean head movement,Strategy ratio,Equal?,AngularDisp,DiffType,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades
100,2,first,1,1,3.042999999999992,1,0.2148749999999972,0.1440000000000001,0.98196625945317,0.4811428571428582,0.0397142857142875,201.10442880325357,0.0249471909448819,0.3707809999999994,2.3195292496154014,0.629058038478217,1.5,1,160,e,8,2.628984554715748,7,2.3003614853762797
100,3,second,1,1,3.309999999999988,1,0.2023333333333346,0.0,0.9038989566172456,0.69809485313273,0.0445714285714271,231.86006899728235,-0.1865717666666666,0.2097550000000004,3.09543941905173,0.7345162447464277,0.5,1,160,e,9,2.719033232628409,7,2.114803625377651
102,2,first,1,1,3.65700000000001,1,0.2206249999999991,0.2600000000000075,0.9597733711048207,0.0,0.0668888888888865,240.5456844574627,0.158515123493976,0.4345699999999998,0.8947693166225987,0.4076895485542735,0.2,1,160,e,8,2.187585452556734,9,2.4610336341263266
102,3,second,1,1,3.599000000000004,1,0.2242000000000011,0.0,0.7743086529884072,0.7504947041501522,0.0556250000000017,240.4524210457169,-0.0232086211656437,0.498184,1.0479707314944602,0.4540729435978108,0.4285714285714285,1,160,e,10,2.778549597110305,8,2.222839677688244
103,2,second,1,1,5.432000000000002,1,0.2546249999999985,0.2099999999999937,0.7506136475208542,0.2452583387835161,0.0436999999999972,203.1686079351509,0.1132815406504064,0.6314085,0.932553044977028,0.4102774679887702,5.0,1,160,e,16,2.9455081001472743,10,1.8409425625920464
103,3,first,1,1,7.733000000000004,1,0.190684210526316,0.1516666666666637,0.8738614407949155,0.7530628739177261,0.0417500000000038,220.3564280154144,-0.257704393939394,0.3774185000000001,6.556158745554969,1.958363790310888,0.9,1,160,e,19,2.457002457002456,12,1.5517910254752352
105,2,second,1,0,6.134,0,0.2014999999999975,0.2419999999999937,0.8802729528535935,0.1739612188365724,0.0421999999999993,237.6331883875308,0.1080554536679536,0.1952285000000003,1.2211359395531325,0.4139315477276258,2.5,1,160,e,16,2.6084121291164,10,1.6302575806977502
105,3,first,1,1,2.8100000000000023,1,0.1589999999999989,0.1329999999999955,0.5296995108315866,0.3060836501901188,0.0620000000000018,227.66313376861768,-0.2552967931034481,0.6343460000000007,1.0571728340834567,0.4573553039652295,2.0,1,160,e,9,3.202846975088965,5,1.7793594306049807
106,2,first,1,1,14.22,1,0.1990000000000001,0.2531999999999968,0.9170175200326016,0.3120140456483657,0.040833333333335,207.1401851335557,-0.0404173553459116,0.3160320000000002,0.7162625308944334,0.312985504609089,2.5,1,160,e,37,2.60196905766526,30,2.109704641350211
106,3,second,1,1,5.266000000000005,1,0.2137692307692283,0.2073333333333285,0.5109751709248047,0.3871435476075413,0.0377000000000037,259.4309181776312,0.0180168162100455,0.2939454999999998,1.2491692289035905,0.7683634662645069,1.1666666666666667,1,160,e,13,2.468666919863271,10,1.898974553740978
107,2,second,1,1,4.396999999999999,1,0.2365000000000011,0.0,0.7323467230443983,0.307159353348722,0.0630000000000001,233.00551486820547,0.1536911165413532,0.4946055,1.0991603497181746,0.3888154601504177,1.0,1,160,e,10,2.2742779167614287,9,2.0468501250852857
107,3,first,1,1,1.5450000000000017,1,0.381000000000002,0.0,0.1745406824147053,0.4636951833213583,0.0409999999999996,260.169009461663,-0.0469132698412694,0.438209500000001,1.1672560386141857,0.3999999785795863,0.3333333333333333,1,160,e,4,2.5889967637540425,5,3.2362459546925533
108,2,first,1,1,11.492000000000004,1,0.1790333333333305,0.179000000000002,0.5715881586296642,0.3250814332247653,0.0420000000000039,204.66755540162995,-0.1136422991183879,0.2353440000000004,2.445930607021669,0.5930524169877792,0.3333333333333333,1,160,e,30,2.610511660285415,18,1.566306996171249
108,3,second,1,1,12.605000000000018,1,0.210607142857145,0.2316428571428608,0.7624215702899715,0.8498180898778831,0.0413333333333327,251.05491120170188,0.176133746062992,0.6800004999999993,0.8211583964144423,0.3076640093210995,0.12,1,160,e,28,2.221340737802456,27,2.142007140023797
109,2,second,1,1,5.553999999999988,1,0.2715000000000004,0.0,0.5316144874155868,0.0,0.0423333333333335,210.6302536176004,0.194930242152466,0.3445585000000002,1.0819954056362993,0.361680768608491,0.3333333333333333,1,160,e,12,2.1606049693914344,12,2.1606049693914344
109,3,first,1,1,5.36099999999999,1,0.1741818181818159,0.2900000000000204,0.5918580375782588,0.6143893902727662,0.0384615384615373,240.5856401308569,0.0925279174528305,0.6098634999999994,0.8500567813218403,0.3434816313487246,0.375,1,160,e,11,2.051855997015486,13,2.4249207237455743
110,2,first,1,1,7.272000000000006,1,0.172499999999999,0.1340000000000003,0.6507246376811657,0.444320712694869,0.049333333333332,145.9258597867842,0.1525924675925926,0.2625425000000004,1.911107173752011,0.4865693614810514,1.3333333333333333,1,160,e,16,2.2002200220021986,12,1.6501650165016488
110,3,second,1,1,16.526999999999987,1,0.2284186046511631,0.1523333333333359,0.8957442476074136,0.9554711811542846,0.0396176470588224,187.1979417770576,0.0153932613293049,0.3511584999999994,1.1157421575057014,0.4265567470802752,1.6666666666666667,1,160,e,43,2.6018031100623245,34,2.0572396684213725
