ID,cond,time,rel_time,dimension,stimulus,onset,controllerleftclick,controllerrightclick,stimulus_ue,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide,left.pupil_diameter_clean,right.pupil_diameter_clean,combined.pupil_diameter_clean,combined.pupil_diameter_corr
181,first,0.0,-3.0659999999999954,3,10.0,0.0,0,6,Pause,,,15.517062,4.401827,118.852356,1.49353,0.323437,1.48232,145.831177,160.768692,1.860693,131.589218,partitionwall_15.StaticMeshComponent0 partitionwall,0.048721,0.084793,0.995193,-17.682266,3.050461,-29.637833,1.0,-0.039017,0.028839,0.99881,29.637253,1.564896,-24.978653,5.552307,0.563043,0.478892,1.0,0.075714,0.101868,0.991898,-32.288651,3.509018,-31.076004,4.840378,0.580649,0.453526,0.04421,0.04421,5.552307,4.840378,5.1963425,0.12804775000000035
181,first,0.0330000000000012,-3.032999999999994,3,10.0,0.0,0,6,Pause,,,15.5083,4.394698,118.85347,1.489595,0.377621,1.465706,145.91153,160.768692,1.019732,132.202194,partitionwall_15.StaticMeshComponent0 partitionwall,0.05011,0.084137,0.995178,-17.82991,3.060471,-29.658264,1.0,-0.037262,0.028122,0.998901,29.648056,1.575287,-25.008301,5.524689,0.562347,0.479008,1.0,0.07663,0.101013,0.991913,-32.288071,3.512741,-31.07428,4.825867,0.580449,0.453526,0.075604,0.075604,5.524689,4.825867,5.1752780000000005,0.10698325000000075
181,first,0.0670000000000001,-2.9989999999999952,3,10.0,0.0,0,6,Pause,,,15.512329,4.384553,118.864464,1.429873,0.409729,1.404689,145.915298,160.768677,0.651761,132.203323,partitionwall_15.StaticMeshComponent0 partitionwall,0.048111,0.079269,0.995682,-16.186584,3.014557,-29.513412,1.0,-0.036392,0.026962,0.998962,29.658173,1.587402,-25.063797,5.507965,0.561867,0.479392,1.0,0.077682,0.097458,0.992188,-32.286179,3.515732,-31.076004,4.82399,0.580203,0.454051,0.068495,0.068495,5.507965,4.82399,5.1659775,0.0976827500000006
181,first,0.1000000000000014,-2.965999999999994,3,10.0,0.0,0,6,Pause,,,15.516117,4.375732,118.859734,1.36379,0.392435,1.318759,145.841461,160.768677,0.717408,131.430832,partitionwall_15.StaticMeshComponent0 partitionwall,0.049133,0.079407,0.995621,-16.881104,3.037369,-29.580139,1.0,-0.036789,0.025345,0.998993,29.663574,1.592697,-25.082657,5.498856,0.561817,0.479795,1.0,0.077469,0.097107,0.992249,-32.285049,3.515472,-31.068588,4.829544,0.580203,0.454051,0.044293,0.044293,5.498856,4.829544,5.1642,0.09590525000000039
181,first,0.1329999999999955,-2.933,3,10.0,0.0,0,6,Pause,,,15.51708,4.350674,118.873215,1.422553,0.417441,1.300828,145.852859,160.768692,0.497501,131.529053,partitionwall_15.StaticMeshComponent0 partitionwall,0.042938,0.075424,0.996216,-13.424652,2.926437,-29.234604,1.0,-0.036987,0.024796,0.998993,29.663803,1.593094,-25.082657,5.495346,0.561867,0.479917,1.0,0.07782,0.097366,0.992188,-32.285049,3.510056,-31.051971,4.830261,0.580129,0.454051,0.067049,0.067049,5.495346,4.830261,5.1628035,0.09450875000000014
181,first,0.1670000000000016,-2.898999999999994,3,10.0,0.0,0,6,Pause,,,15.520918,4.326558,118.871857,1.429499,0.40779,1.271072,145.777939,160.768692,1.303054,130.919327,partitionwall_15.StaticMeshComponent0 partitionwall,0.0345,0.069839,0.996948,-8.774918,2.768921,-28.742386,1.0,-0.037689,0.024597,0.998978,29.663803,1.592697,-25.075012,5.495224,0.562035,0.479917,1.0,0.078552,0.097275,0.992142,-32.292297,3.488556,-30.98613,4.866241,0.580245,0.454247,0.034662,0.034662,5.495224,4.866241,5.1807324999999995,0.11243774999999978
181,first,0.1999999999999957,-2.866,3,10.0,0.0,0,6,Pause,,,15.523153,4.314208,118.870522,1.275745,0.366412,1.240127,145.683319,160.768707,2.442635,129.999237,partitionwall_15.StaticMeshComponent0 partitionwall,0.028793,0.066696,0.997345,-6.367966,2.688629,-28.482193,1.0,-0.038391,0.023849,0.998978,29.661362,1.590607,-25.066101,5.466934,0.562352,0.480116,1.0,0.077042,0.09729,0.992264,-32.298111,3.478882,-30.94075,4.885971,0.580692,0.454191,0.042767,0.042767,5.466934,4.885971,5.1764525,0.10815775000000016
181,first,0.232999999999997,-2.8329999999999984,3,10.0,0.0,0,6,Pause,,,15.524891,4.295754,118.879936,1.269648,0.417502,1.173974,145.649734,160.768707,3.087955,129.678665,partitionwall_15.StaticMeshComponent0 partitionwall,0.028442,0.067993,0.997269,-6.513077,2.669739,-28.430191,1.0,-0.038818,0.024155,0.998947,29.650818,1.58287,-25.041611,5.496323,0.562718,0.48005,1.0,0.076324,0.098999,0.992142,-32.311554,3.445084,-30.847534,4.905518,0.581223,0.454247,0.060151,0.060151,5.496323,4.905518,5.2009205000000005,0.13262575000000076
181,first,0.2669999999999959,-2.7989999999999995,3,10.0,0.0,0,6,Pause,,,15.513575,4.267454,118.852325,1.258305,0.269499,1.120189,145.647827,160.768707,2.973308,129.461655,partitionwall_15.StaticMeshComponent0 partitionwall,0.031784,0.055634,0.99794,-9.014954,2.616104,-28.686783,1.0,-0.037598,0.008072,0.999252,29.586319,1.413513,-24.888458,5.45253,0.564568,0.488205,1.0,0.073517,0.084122,0.993729,-32.288513,3.341171,-30.976883,4.990234,0.581184,0.461532,0.041969,0.041969,5.45253,4.990234,5.221382,0.15308725000000045
181,first,0.2999999999999971,-2.7659999999999982,3,10.0,0.0,0,6,Pause,,,15.515882,4.247916,118.782898,1.200579,-0.147962,1.046943,145.471695,160.768707,2.280993,126.5131,partitionwall_15.StaticMeshComponent0 partitionwall,-0.079956,-0.127335,0.988617,29.083115,0.87854,-25.165726,1.0,-0.080063,-0.127365,0.988617,29.136902,0.876785,-25.159927,5.688583,0.588974,0.541147,1.0,0.038025,-0.088669,0.995331,-32.167572,2.874237,-31.766541,4.90448,0.584077,0.514626,0.028859,0.028859,5.688583,4.90448,5.2965315,0.22823675000000065
