ID,dimension,time,rel_time,controllerleftclick,controllerrightclick,stimulus,onset,stimulus_ue,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide
158,3,0.0,-3.065000000000005,5,0,10,0.0,Pause,,,2.343418,7.218432,106.564621,-4.9125,-0.000109,-0.864167,161.093857,160.768784,13.409503,135.100403,partitionwall_15.StaticMeshComponent0 partitionwall,-0.053604,0.176804,0.982773,18.393799,2.368561,-26.186325,1.0,-0.060165,0.180618,0.981705,31.533798,2.555725,-26.582474,3.734741,0.529395,0.454473,0.768041,-0.030914,0.163559,0.986038,-27.012268,1.721771,-24.817413,3.854492,0.407482,0.449324,0.857463,0.0
158,3,0.034000000000006025,-3.030999999999999,5,0,10,0.0,Pause,,,2.340661,7.217228,106.572433,-4.911826,-0.002411,-0.881643,161.08577,160.768784,13.376241,135.054108,partitionwall_15.StaticMeshComponent0 partitionwall,-0.053207,0.176544,0.982849,19.296921,2.383316,-26.220032,1.0,-0.05864,0.180023,0.981903,31.538635,2.555511,-26.578064,3.699356,0.529039,0.454486,0.845781,-0.032639,0.163345,0.986023,-27.014832,1.731918,-24.86554,3.853378,0.407818,0.449443,0.864362,0.0
158,3,0.06700000000000017,-2.9980000000000047,5,0,10,0.0,Pause,,,2.339457,7.228386,106.569016,-4.907047,-0.016454,-0.900955,161.066299,160.768768,13.268702,134.959274,partitionwall_15.StaticMeshComponent0 partitionwall,-0.039474,0.177902,0.983246,16.561646,2.399643,-26.230484,1.0,-0.04657,0.179581,0.982635,31.625656,2.61853,-26.706421,3.618103,0.524389,0.453409,0.779834,-0.018967,0.172989,0.984726,-26.939133,1.767532,-24.856094,3.921753,0.403211,0.446732,0.870278,0.0
158,3,0.10000000000000142,-2.9650000000000034,5,0,10,0.0,Pause,,,2.3397,7.235801,106.562889,-4.911689,-0.018298,-0.910827,161.035309,160.768768,11.03451,135.166351,partitionwall_15.StaticMeshComponent0 partitionwall,0.102417,0.249588,0.962906,-14.600876,2.236435,-25.210556,1.0,0.090225,0.261215,0.961044,32.289139,2.922836,-26.846786,3.6203,0.481213,0.432321,0.924209,0.105392,0.24675,0.963318,-26.053833,2.068787,-24.810898,3.866714,0.354131,0.424755,0.757038,0.0
158,3,0.13300000000000267,-2.932000000000002,5,0,10,0.0,Pause,,,2.337494,7.242191,106.554863,-4.909778,-0.020395,-0.897045,164.822906,160.768585,-12.203957,147.640366,partitionwall_15.StaticMeshComponent0 partitionwall,0.102844,0.260788,0.959885,8.043213,2.561844,-26.009094,1.0,0.097458,0.264938,0.95932,32.325882,2.917419,-26.857864,3.592926,0.47888,0.432009,1.0,0.110382,0.254959,0.960617,-26.03389,2.062836,-24.817947,3.905869,0.352672,0.423758,0.694659,0.081857
158,3,0.1670000000000016,-2.8980000000000032,5,0,10,0.0,Pause,,,2.347432,7.242227,106.560371,-4.89247,0.002479,-0.859324,165.337646,160.7686,-12.22525,149.691284,partitionwall_15.StaticMeshComponent0 partitionwall,0.100845,0.259537,0.960449,17.989182,2.708496,-26.353882,1.0,0.096954,0.261353,0.960342,32.343018,2.917679,-26.85527,3.647125,0.478347,0.43259,1.0,0.112717,0.253937,0.960617,-26.044693,2.066788,-24.815781,3.936035,0.352672,0.42382,0.719286,0.107763
158,3,0.20000000000000284,-2.865000000000002,5,0,10,0.0,Pause,,,2.351427,7.239389,106.569122,-4.847454,0.018325,-0.829105,165.232193,160.7686,-11.79814,149.50209,partitionwall_15.StaticMeshComponent0 partitionwall,0.101105,0.257431,0.960983,17.543564,2.701645,-26.336746,1.0,0.096741,0.258774,0.961075,32.357895,2.918488,-26.854095,3.667969,0.477873,0.432968,1.0,0.113922,0.253464,0.960602,-26.051178,2.063507,-24.814301,3.911972,0.352667,0.423964,0.725942,0.116312
158,3,0.23400000000000176,-2.831000000000003,5,0,10,0.0,Pause,,,2.34084,7.244122,106.56427,-4.84724,0.025948,-0.853755,165.166321,160.7686,-11.898672,149.156586,partitionwall_15.StaticMeshComponent0 partitionwall,0.099075,0.257187,0.961258,17.522247,2.700134,-26.336411,1.0,0.093765,0.258652,0.961395,32.376221,2.917419,-26.854095,3.667633,0.477719,0.433013,1.0,0.114624,0.252853,0.960678,-26.052567,2.062714,-24.817734,3.908829,0.352593,0.424109,0.742371,0.133411
158,3,0.267000000000003,-2.798000000000002,5,0,10,0.0,Pause,,,2.340007,7.247353,106.56974,-4.839569,-0.002677,-0.870793,165.098495,160.7686,-11.604084,149.025665,partitionwall_15.StaticMeshComponent0 partitionwall,0.102753,0.25708,0.960907,17.882507,2.695328,-26.349579,1.0,0.098404,0.25943,0.960724,32.400635,2.906448,-26.854095,3.647095,0.476199,0.43324,1.0,0.115891,0.249908,0.961304,-26.054535,2.056396,-24.822708,3.906754,0.352449,0.424812,0.749463,0.113506
158,3,0.30000000000000426,-2.7650000000000006,5,0,10,0.0,Pause,,,2.330981,7.241571,106.562653,-4.809925,-0.023626,-0.906432,165.17514,160.7686,-12.328522,148.957748,partitionwall_15.StaticMeshComponent0 partitionwall,0.10228,0.256195,0.961197,17.90712,2.68602,-26.351669,1.0,0.097321,0.257538,0.961349,32.410034,2.897842,-26.856049,3.645737,0.476055,0.433814,1.0,0.117279,0.252045,0.960571,-26.056046,2.043945,-24.822708,3.880371,0.352243,0.424841,0.754541,0.15241
