ID,dimension,time,rel_time,controllerleftclick,controllerrightclick,stimulus,onset,stimulus_ue,2d_x,2d_y,playerlocationX,playerlocationY,playerlocationZ,playerrotationRoll,playerrotationPitch,playerrotationYaw,raydistance,rayimpactpointX,rayimpactpointY,rayimpactpointZ,rayhitcomponent,combined.gaze_direction_normalized.X,combined.gaze_direction_normalized.Y,combined.gaze_direction_normalized.Z,combined.gaze_origin_mm.X,combined.gaze_origin_mm.Y,combined.gaze_origin_mm.Z,left.eye_openness,left.gaze_direction_normalized.X,left.gaze_direction_normalized.Y,left.gaze_direction_normalized.Z,left.gaze_origin_mm.X,left.gaze_origin_mm.Y,left.gaze_origin_mm.Z,left.pupil_diameter_mm,left.pupil_position_in_sensor_area.X,left.pupil_position_in_sensor_area.Y,right.eye_openness,right.gaze_direction_normalized.X,right.gaze_direction_normalized.Y,right.gaze_direction_normalized.Z,right.gaze_origin_mm.X,right.gaze_origin_mm.Y,right.gaze_origin_mm.Z,right.pupil_diameter_mm,right.pupil_position_in_sensor_area.X,right.pupil_position_in_sensor_area.Y,left.eye_wide,right.eye_wide
111,2,0.0,-3.096,0,5,16,0.0,Pause,447.181793,534.019592,-5.341184,8.818949,115.613426,-0.214538,-3.469442,-0.826663,90.927513,84.63929,-2.871542,121.500519,A_StateManager_2.ScreenWidget,0.109436,0.120621,0.986633,-30.937424,-0.694,-30.621475,1.0,0.049088,0.106735,0.993073,27.043762,0.585724,-22.347549,3.820847,0.648565,0.474745,1.0,0.111542,0.121094,0.986343,-32.964737,-0.738754,-30.910782,3.366806,0.575205,0.58494,0.658368,0.658368
111,2,0.0329999999999977,-3.0630000000000024,0,5,16,0.0,Pause,448.467255,517.019104,-5.343026,8.807791,115.623184,-0.203392,-3.441152,-0.825686,90.857323,84.63929,-2.487875,121.158836,A_StateManager_2.ScreenWidget,0.074402,0.110046,0.991135,3.654572,0.066757,-25.671112,1.0,0.049652,0.102753,0.993454,27.041687,0.585724,-22.34021,3.819046,0.648518,0.475437,1.0,0.113037,0.121292,0.986145,-32.969467,-0.745941,-30.887268,3.360855,0.575001,0.584914,0.6365,0.6365
111,2,0.06599999999999895,-3.030000000000001,0,5,16,0.0,Pause,453.948181,512.137939,-5.347478,8.805108,115.622284,-0.203664,-3.437634,-0.806268,90.458641,84.63929,0.775852,120.169479,A_StateManager_2.ScreenWidget,0.07132,0.108292,0.991547,6.095001,0.11998,-25.323425,1.0,0.049576,0.101028,0.993637,27.042313,0.586914,-22.348984,3.841995,0.648512,0.475845,1.0,0.11174,0.121689,0.986252,-32.972763,-0.750839,-30.87088,3.384232,0.575422,0.584791,0.626858,0.626858
111,2,0.0990000000000002,-2.997,0,5,16,0.0,Pause,500.572845,498.004242,-5.346966,8.807302,115.629173,-0.230013,-3.456786,-0.77344,90.419884,84.63929,1.11329,119.991409,A_StateManager_2.ScreenWidget,0.0728,0.104294,0.991867,5.259399,0.103333,-25.438705,1.0,0.049576,0.095123,0.994217,27.04216,0.590683,-22.348984,3.856171,0.648518,0.476876,1.0,0.113464,0.120224,0.986237,-32.977966,-0.752167,-30.862366,3.416306,0.575262,0.585035,0.631896,0.631896
111,2,0.13299999999999912,-2.963000000000001,0,5,16,0.0,Pause,505.393372,495.460388,-5.348828,8.806049,115.627991,-0.232716,-3.460556,-0.759878,90.414207,84.63929,1.001136,119.621696,A_StateManager_2.ScreenWidget,0.071198,0.103882,0.992035,5.928146,0.11438,-25.328033,1.0,0.048172,0.095123,0.994293,27.041016,0.586914,-22.329895,3.893066,0.648791,0.476915,1.0,0.11351,0.119873,0.986267,-32.98082,-0.756439,-30.853287,3.456177,0.575403,0.585094,0.646057,0.646057
111,2,0.16600000000000037,-2.9299999999999997,0,5,16,0.0,Pause,503.791199,490.178772,-5.343932,8.803773,115.624489,-0.275306,-3.451643,-0.764541,90.395996,84.63929,1.138653,119.586937,A_StateManager_2.ScreenWidget,0.071609,0.103745,0.99202,5.231705,0.102646,-25.440414,1.0,0.048004,0.095367,0.994278,27.042908,0.594055,-22.359879,3.892441,0.648791,0.476883,1.0,0.112839,0.118256,0.986542,-32.983322,-0.758331,-30.837784,3.484528,0.575672,0.585314,0.627171,0.627171
111,2,0.1999999999999993,-2.896000000000001,0,5,16,0.0,Pause,505.755707,489.68222,-5.327752,8.793259,115.627907,-0.290886,-3.438542,-0.780937,90.38549,84.63929,1.066113,119.597961,A_StateManager_2.ScreenWidget,0.070206,0.103104,0.992188,5.581848,0.113861,-25.392441,1.0,0.046555,0.094971,0.994385,27.048615,0.601898,-22.371414,3.868088,0.648906,0.476754,1.0,0.112564,0.117554,0.986664,-32.983398,-0.762894,-30.819717,3.499634,0.575746,0.585418,0.639982,0.639982
111,2,0.23300000000000054,-2.8629999999999995,0,5,16,0.0,Pause,504.719421,489.839722,-5.32051,8.781147,115.624062,-0.209238,-3.505232,-0.803798,90.363266,84.63929,1.147255,119.429291,A_StateManager_2.ScreenWidget,0.070114,0.102142,0.992279,5.414322,0.112823,-25.427139,1.0,0.046387,0.094269,0.994461,27.053497,0.606995,-22.388077,3.888733,0.648791,0.476896,1.0,0.112137,0.115967,0.986893,-32.982864,-0.764023,-30.819717,3.509445,0.575844,0.585791,0.616913,0.616913
111,2,0.26599999999999824,-2.830000000000002,0,5,16,0.0,Pause,505.878601,487.430145,-5.322867,8.768034,115.615273,-0.283611,-3.553877,-0.832734,90.362495,84.63929,1.097268,119.26915,A_StateManager_2.ScreenWidget,0.07132,0.100876,0.992325,3.445541,0.072006,-25.71257,1.0,0.0457,0.09166,0.994736,27.056046,0.615692,-22.407455,3.916443,0.648851,0.477334,1.0,0.110748,0.114944,0.987167,-32.984192,-0.766876,-30.81221,3.524323,0.576219,0.586011,0.594934,0.594934
111,2,0.3000000000000007,-2.7959999999999994,0,5,16,0.0,Pause,505.16449,485.142395,-5.325651,8.757091,115.609024,-0.33498,-3.573309,-0.866123,90.373352,84.63929,0.924243,119.115959,A_StateManager_2.ScreenWidget,0.069885,0.100876,0.992432,4.011581,0.077621,-25.610413,1.0,0.044418,0.090149,0.994934,27.055222,0.605865,-22.372055,3.962753,0.649072,0.477724,1.0,0.110672,0.11792,0.986832,-32.989578,-0.770554,-30.810226,3.526062,0.576409,0.585459,0.626026,0.626026
