cube,x,y,figure
cube6A,335.21,375.98,left
cube6A,357.03,396.89,left
cube6A,384.9,336.89,left
cube6A,361.87,320.22,left
cube4,226.12,471.12,left
cube4,308.54,502.34,left
cube4,330.36,452.94,left
cube4,308.85,433.85,left
cube4,252.79,412.95,left
cube1,385.21,612.94,left
cube1,413.39,552.03,left
cube1,391.27,533.55,left
cube1,337.03,511.12,left
cube1,308.5,571.1,left
cube1,326.42,589.91,left
cube5B,308.84,433.78,left
cube5B,330.93,453.56,left
cube5B,357.66,395.9,left
cube5B,335.56,376.75,left
cube10,818.5,281.59000000000003,right
cube10,869.26,258.61,right
cube10,864.2,202.60000000000002,right
cube10,823.6,183.10000000000002,right
cube10,772.79,204.83000000000004,right
cube10,777.34,261.39,right
cube9,822.29,340.43,right
cube9,782.1,321.91,right
cube9,777.89,261.30999999999995,right
cube9,817.45,280.03999999999996,right
cube8B,856.38,299.61,right
cube8B,907.51,278.35,right
cube8B,868.79,258.78,right
cube8B,818.08,280.25,right
cube8A,861.01,358.95,right
cube8A,822.29,340.43,right
cube8A,818.08,280.25,right
cube8A,856.38,299.61,right
cube7B,896.78,319.18,right
cube7B,946.23,296.66,right
cube7B,907.5,278.6,right
cube7B,856.59,299.82,right
cube7A,901.24,378.12,right
cube7A,860.63,358.76,right
cube7A,856.42,299.42,right
cube7A,897.03,318.78,right
cube6A,941.5,395.7,right
cube6A,900.59,375.25,right
cube6A,897.31,318.94,right
cube6A,946.8,296.46,right
cube6A,988.47,317.42,right
cube6A,993.01,374.24,right
cube5B,947.61,452.75,right
cube5B,905.34,432.94,right
cube5B,901.31,375.95,right
cube5B,941.64,395.06,right
cube5A,947.43,452.75,right
cube5A,941.47,395.23,right
cube5A,993.37,373.67,right
cube5A,998.99,430.83,right
cube4B,953.74,511.15,right
cube4B,910.96,490.63,right
cube4B,906.05,433.11,right
cube4B,947.26,452.05,right
cube4A,953.57,510.27,right
cube4A,947.26,452.58,right
cube4A,999.16,431.01,right
cube4A,1004.42,487.65,right
cube3,959.18,569.96,right
cube3,1010.03,548.5699999999999,right
cube3,1004.95,487.54,right
cube3,953.39,509.64,right
cube2B,903.82,531.4200000000001,right
cube2B,863.84,510.9,right
cube2B,913.46,490.91,right
cube2B,954.15,510.9,right
cube2A,908.38,591.22,right
cube2A,959.06,569.65,right
cube2A,953.62,510.38,right
cube2A,903.47,530.72,right
cube1,816.3,593.1,right
cube1,857.65,612.4,right
cube1,908.3,591.2,right
cube1,903.94,531.03,right
cube1,863.61,510.87,right
cube1,811.0,533.14,right
cube10B,300.84,263.53999999999996,left
cube10B,321.46,282.48,left
cube10B,348.19,224.39999999999998,left
cube10B,327.35,205.03999999999996,left
cube10A,244.66,240.60000000000002,left
cube10A,270.96,182.95000000000005,left
cube10A,327.35,205.25,left
cube10A,300.84,263.33000000000004,left
cube8B,293.48,339.51,left
cube8B,321.25,282.9,left
cube8B,342.72,300.58,left
cube8B,312.83,356.97,left
cube8A,313.3,357.4,left
cube8A,293.69,339.72,left
cube8A,240.87,321.83,left
cube8A,258.75,338.87,left
cube7B,336.19,376.96,left
cube7B,278.96,355.71,left
cube7B,259.18,338.66,left
cube7B,313.47,357.6,left
cube7A,335.77,376.33,left
cube7A,313.47,358.65,left
cube7A,342.08,299.73,left
cube7A,363.34,319.3,left
cube5A,252.86,412.74,left
cube5A,280.01,355.5,left
cube5A,335.35,376.96,left
cube5A,309.26,433.78,left
cube3B,199.62,528.6800000000001,left
cube3B,225.72,471.02,left
cube3B,282.11,492.28,left
cube3B,254.97,547.83,left
cube3A,270.12,568.03,left
cube3A,221.3,549.52,left
cube3A,198.99,528.47,left
cube3A,254.55,547.41,left
cube2B,254.76,548.04,left
cube2B,281.9,491.65,left
cube2B,337.24,511.43,left
cube2B,308.84,570.77,left
cube2A,325.67,589.92,left
cube2A,270.54,567.8199999999999,left
cube2A,254.76,548.46,left
cube2A,308.63,570.56,left
cube9,240.36,322.02,left
cube9,216.37,300.81,left
cube9,243.65,240.46000000000004,left
cube9,300.46,263.69000000000005,left
cube9,321.67,283.13,left
cube9,292.89,340.45,left
