cube,x,y,figure
cube4,263.09,489.89,left
cube4,261.87,430.1,left
cube4,325.17,424.48,left
cube4,341.48,444.3,left
cube4,342.0,482.88,left
cube4,326.05,484.28,left
cube3,341.55,566.3,left
cube3,280.18,572.11,left
cube3,264.53,551.41,left
cube3,263.52,489.79,left
cube3,326.14,484.74,left
cube3,327.41,545.34,left
cube1,468.81,553.17,left
cube1,405.18,559.23,left
cube1,390.53,539.03,left
cube1,388.26,478.18,left
cube1,451.9,471.1,left
cube1,468.06,492.06,left
cube2,404.42,559.49,left
cube2,342.3,565.55,left
cube2,328.67,545.34,left
cube2,326.65,484.74,left
cube2,388.01,477.92,left
cube2,390.03,539.28,left
cube7B,308.51,344.17,left
cube7B,308.0,283.20000000000005,left
cube7B,322.71,303.66,left
cube7B,323.59,363.11,left
cube6A,323.94,363.63,left
cube6A,322.7,303.7,left
cube6A,338.5,322.7,left
cube6A,339.7,383.9,left
cube5,261.87,430.1,left
cube5,260.81,370.47,left
cube5,323.77,363.64,left
cube5,339.9,384.33,left
cube5,340.78,443.77,left
cube5,325.35,424.48,left
cube2A,860.42,530.6,right
cube2A,903.0,523.7,right
cube2A,854.36,502.82,right
cube2A,814.96,510.14,right
cube1,902.3,523.4,right
cube1,854.86,503.33,right
cube1,865.72,442.47,right
cube1,906.88,435.9,right
cube1,956.12,455.6,right
cube1,943.24,517.47,right
cube8A,245.6,350.8,left
cube8A,231.6,331.9,left
cube8A,292.03,324.35,left
cube8A,308.16,343.99,left
cube7A,260.46,370.47,left
cube7A,246.2,351.6,left
cube7A,308.69,343.99,left
cube7A,324.12,363.46,left
cube7,912.6,376.0,right
cube7,897.96,369.11,right
cube7,901.33,348.28,right
cube7,914.58,287.47,right
cube7,963.4,306.83,right
cube7,949.7,368.5,right
cube6A,810.63,334.39,right
cube6A,822.4,272.1,right
cube6A,863.2,266.4,right
cube6A,914.6,287.0,right
cube6A,901.33,348.28,right
cube6A,852.08,327.03,right
cube10,919.84,401.1,right
cube10,923.84,381.74,right
cube10,957.93,394.58,right
cube10,1008.65,415.2,right
cube10,969.51,421.93,right
cube9,957.93,394.58,right
cube9,1007.59,414.78,right
cube9,1049.68,407.83,right
cube9,1061.46,346.18,right
cube9,1011.8,326.19,right
cube9,998.12,387.42,right
cube8,912.27,375.85,right
cube8,958.35,394.37,right
cube8,997.91,387.42,right
cube8,1011.59,326.82,right
cube8,963.82,306.62,right
cube8,950.15,368.27,right
cube5,799.48,394.79,right
cube5,811.26,334.39,right
cube5,852.3,327.45,right
cube5,900.9,348.28,right
cube5,889.54,408.88,right
cube5,839.04,388.47,right
cube4,787.69,454.34,right
cube4,799.48,394.79,right
cube4,839.67,388.68,right
cube4,889.33,408.88,right
cube4,883.44,439.4,right
cube4,827.04,448.45,right
cube3B,774.23,517.26,right
cube3B,787.9,454.55,right
cube3B,826.62,448.66,right
cube3B,814.63,509.89,right
cube3A,824.31,537.88,right
cube3A,861.13,531.36,right
cube3A,815.05,509.68,right
cube3A,774.01,516.8399999999999,right
cube2B,814.96,510.14,right
cube2B,827.09,448.53,right
cube2B,865.97,442.47,right
cube2B,855.11,503.07,right
cube10,231.21,332.14,left
cube10,168.5,338.24,left
cube10,153.35,317.83,left
cube10,152.09,255.12,left
cube10,214.8,249.23000000000002,left
cube10,216.9,310.68,left
cube9,232.05,331.93,left
cube9,217.11,311.31,left
cube9,215.22,248.39,left
cube9,278.35,242.71000000000004,left
cube9,292.65,262.49,left
cube9,291.6,324.57,left
cube8B,291.85,324.18,left
cube8B,292.8,263.6,left
cube8B,307.7,283.1,left
cube8B,308.23,344.17,left
