cube,x,y,figure
cube5,260.1,473.8,left
cube5,317.45,473.5,left
cube5,292.5,427.1,left
cube5,236.61,427.38,left
cube8B,225.6,291.1,left
cube8B,168.8,290.1,left
cube8B,192.28,243.89,left
cube8B,248.59,243.89,left
cube6A,925.2,501.4,right
cube6A,946.2,501.05,right
cube6A,903.59,453.17,right
cube6A,879.57,453.52,right
cube4,838.68,410.34,right
cube4,807.47,377.31,right
cube4,862.61,317.01,right
cube4,906.55,364.58,right
cube4,862.31,409.43,right
cube1,711.8,456.1,right
cube1,734.37,455.77,right
cube1,778.14,409.47,right
cube1,734.58,362.97,right
cube1,711.22,362.97,right
cube1,667.66,408.42,right
cube3,370.11,473.23,left
cube3,426.51,472.18,left
cube3,450.71,427.36,left
cube3,427.98,379.38,left
cube3,371.4,380.4,left
cube3,347.6,427.36,left
cube7,227.23,382.33,left
cube7,270.37,381.7,left
cube7,295.2,337.09,left
cube7,270.79,292.68,left
cube10,146.43,429.25,left
cube10,204.29,429.04,left
cube10,227.44,381.28,left
cube10,202.61,336.24,left
cube10,146.64,336.24,left
cube10,122.86,381.49,left
cube2A,449.66,517.74,left
cube2A,426.64,472.33,left
cube2A,450.9,427.13,left
cube2A,473.5,471.92,left
cube9A,202.36,336.34,left
cube9A,225.09,291.39,left
cube9A,249.07,337.35,left
cube9A,227.11,381.28,left
cube9B,202.84,336.49,left
cube9B,146.2,336.14,left
cube9B,169.0,290.1,left
cube9B,225.11,290.9,left
cube8A,225.2,292.1,left
cube8A,248.59,244.14,left
cube8A,272.33,290.86,left
cube8A,249.1,337.83,left
cube6A,292.94,427.41,left
cube6A,269.8,381.87,left
cube6A,295.68,336.33,left
cube6A,317.2,380.5,left
cube6B,236.64,427.52,left
cube6B,221.09,395.21,left
cube6B,227.31,382.25,left
cube6B,270.16,381.56,left
cube6B,292.46,427.0,left
cube4A,317.7,473.7,left
cube4A,370.38,473.33,left
cube4A,347.37,426.88,left
cube4A,292.62,427.09,left
cube4B,347.44,427.12,left
cube4B,371.56,379.96,left
cube4B,317.44,379.96,left
cube4B,292.84,427.36,left
cube8,967.74,501.22,right
cube8,991.31,501.22,right
cube8,1035.08,454.51,right
cube8,990.88,409.26,right
cube8,968.58,407.79,right
cube8,925.23,453.87,right
cube3A,776.4,318.14,right
cube3A,819.73,363.55,right
cube3A,862.86,316.48,right
cube3A,818.9,271.28,right
cube2B,734.27,364.0,right
cube2B,710.63,363.01,right
cube2B,754.4,317.0,right
cube2B,776.82,317.22,right
cube2A,778.32,409.79,right
cube2A,819.87,363.26,right
cube2A,776.08,318.22,right
cube2A,733.77,362.76,right
cube1B,473.09,565.74,left
cube1B,415.06,565.17,left
cube1B,392.74,518.51,left
cube1B,449.48,517.94,left
cube1A,472.88,565.02,left
cube1A,449.66,517.74,left
cube1A,473.71,471.5,left
cube1A,496.73,518.1600000000001,left
cube2B,449.66,517.74,left
cube2B,392.84,518.37,left
cube2B,370.03,472.75,left
cube2B,426.43,472.33,left
cube10A,1033.2,363.7,right
cube10A,1076.4,317.04,right
cube10A,1120.46,364.13,right
cube10A,1076.22,410.93,right
cube10B,1033.9,363.1,right
cube10B,1010.5,362.6,right
cube10B,1053.3,316.3,right
cube10B,1077.0,316.5,right
cube3B,776.67,318.0,right
cube3B,754.04,316.96,right
cube3B,796.72,270.83000000000004,right
cube3B,819.01,271.52,right
cube5A,903.65,453.27,right
cube5A,861.54,409.37,right
cube5A,907.23,363.39,right
cube5A,947.84,408.18,right
cube5B,903.57,453.42,right
cube5B,879.23,453.57,right
cube5B,838.19,410.08,right
cube5B,862.1,409.5,right
cube7A,945.73,501.59,right
cube7A,967.29,501.18,right
cube7A,924.57,453.28,right
cube7A,903.42,453.07,right
cube7B,903.63,453.28,right
cube7B,947.8,407.66,right
cube7B,968.12,407.66,right
cube7B,925.4,453.69,right
cube9A,990.49,409.36,right
cube9A,1033.42,363.32,right
cube9A,1076.13,410.19,right
cube9A,1035.28,454.77,right
cube9B,990.83,409.36,right
cube9B,968.08,407.78,right
cube9B,1010.4,362.6,right
cube9B,1033.74,362.99,right
