cube,x,y,figure
cube10,1015.94,447.24,right
cube10,1069.98,446.99,right
cube10,1096.75,397.5,right
cube10,1065.9,353.6,right
cube10,1013.67,354.32,right
cube10,986.42,403.05,right
cube3,778.22,504.34,right
cube3,830.75,503.83,right
cube3,856.25,454.09,right
cube3,826.45,410.4,right
cube3,775.45,411.41,right
cube3,747.92,459.89,right
cube9,213.45,375.55,left
cube9,188.3,375.55,left
cube9,173.76,327.68,left
cube9,188.91,281.91999999999996,left
cube5,241.44,477.2,left
cube5,303.69,477.2,left
cube5,319.47,431.78,left
cube5,305.62,383.73,left
cube5,243.54,383.91,left
cube5,227.58,428.45,left
cube3,378.41,433.43,left
cube3,441.29,432.92,left
cube3,428.7,383.2,left
cube3,364.78,382.93,left
cube1,389.4,572.0,left
cube1,452.98,572.26,left
cube1,468.89,527.06,left
cube1,455.0,479.3,left
cube1,391.62,479.59,left
cube1,376.22,522.52,left
cube2A,391.3,479.4,left
cube2A,378.26,433.11,left
cube2A,441.39,432.89,left
cube2A,454.85,479.4,left
cube2B,376.13,523.23,left
cube2B,362.1,475.36,left
cube2B,378.06,432.74,left
cube2B,391.91,480.09,left
cube7A,230.39,336.45,left
cube7A,217.4,287.9,left
cube7A,280.26,289.11,left
cube7A,293.1,337.72,left
cube4A,303.7,476.7,left
cube4A,362.45,476.57,left
cube4A,378.41,432.38,left
cube4A,319.66,431.32,left
cube4B,319.14,431.67,left
cube4B,305.81,383.63,left
cube4B,365.43,383.1,left
cube4B,378.23,432.73,left
cube6A,243.37,384.26,left
cube6A,230.04,337.26,left
cube6A,293.69,337.61,left
cube6A,306.32,383.56,left
cube6B,243.01,384.22,left
cube6B,227.44,427.78,left
cube6B,214.4,380.22,left
cube6B,230.39,336.03,left
cube7B,214.15,379.79,left
cube7B,201.42,331.01,left
cube7B,217.18,287.98,left
cube7B,230.51,337.07,left
cube8A,216.9,289.38,left
cube8A,202.8,240.14,left
cube8A,266.98,240.35000000000002,left
cube8A,280.03,289.17,left
cube8B,216.89,289.39,left
cube8B,202.16,331.12,left
cube8B,188.83,281.5,left
cube8B,203.38,240.28999999999996,left
cube10A,172.64,420.15,left
cube10A,225.1,419.71,left
cube10A,213.26,374.99,left
cube10A,188.27,375.28,left
cube10B,172.52,420.03,left
cube10B,157.79,370.05,left
cube10B,173.57,326.92,left
cube10B,188.13,375.84,left
cube1A,719.39,417.98,right
cube1A,689.09,373.53,right
cube1A,717.1,324.3,right
cube1A,747.2,369.2,right
cube2B,775.61,411.86,right
cube2B,747.91,369.25,right
cube2B,799.46,368.9,right
cube2B,826.47,410.28,right
cube4A,830.29,504.03,right
cube4A,879.04,504.03,right
cube4A,906.75,453.35,right
cube4A,856.42,453.7,right
cube9A,987.37,400.64,right
cube9A,958.33,357.92,right
cube9A,985.69,310.36,right
cube9A,1013.88,353.92,right
cube9B,1013.95,354.51,right
cube9B,1066.43,353.66,right
cube9B,1036.5,310.9,right
cube9B,985.57,310.91,right
cube8A,985.73,310.97,right
cube8A,954.34,267.14,right
cube8A,1008.0,266.96000000000004,right
cube8A,1036.76,310.97,right
cube8B,928.68,314.9,right
cube8B,954.69,267.59000000000003,right
cube8B,985.62,310.72,right
cube8B,958.26,358.07,right
cube5,878.35,504.56,right
cube5,932.36,503.81,right
cube5,958.9,454.6,right
cube5,906.6,453.1,right
cube6B,906.51,453.61,right
cube6B,875.53,409.92,right
cube6B,903.15,361.99,right
cube6B,932.96,406.12,right
cube6A,906.4,453.2,right
cube6A,933.27,406.41,right
cube6A,985.02,407.02,right
cube6A,958.64,455.02,right
cube4B,855.56,454.35,right
cube4B,826.28,409.98,right
cube4B,876.6,409.98,right
cube4B,906.77,453.65,right
cube2A,747.95,460.03,right
cube2A,718.86,417.13,right
cube2A,747.95,369.13,right
cube2A,775.95,411.31,right
cube1B,747.08,369.59,right
cube1B,798.52,369.0,right
cube1B,768.6,324.7,right
cube1B,716.54,324.43,right
cube7,932.44,406.69,right
cube7,985.21,406.94,right
cube7,987.48,400.37,right
cube7,928.65,314.77,right
cube7,902.89,362.24,right
