cube,x,y,figure
cube7A,315.7,427.4,left
cube7A,375.5,423.9,left
cube7A,408.3,413.1,left
cube7A,354.8,415.3,left
cube5B,229.36,437.92,left
cube5B,223.12,372.76,left
cube5B,257.32,364.84,left
cube5B,265.84,429.88,left
cube5A,282.7,436.8,left
cube5A,312.7,428.4,left
cube5A,265.2,429.7,left
cube5A,229.2,438.1,left
cube4B,194.28,447.0,left
cube4B,186.79,382.2,left
cube4B,223.08,373.27,left
cube4B,229.42,438.07,left
cube4A,248.9,445.3,left
cube4A,283.0,436.84,left
cube4A,229.24,437.92,left
cube4A,193.96,447.16,left
cube2B,200.82,509.84,left
cube2B,164.7,519.0,left
cube2B,156.5,456.6,left
cube2B,194.43,447.46,left
cube2A,200.99,509.83,left
cube2A,194.47,447.33,left
cube2A,248.7,445.1,left
cube2A,256.12,506.46,left
cube6B,819.29,430.34,right
cube6B,812.69,421.46,right
cube6B,878.57,417.99,right
cube6B,885.41,427.34,right
cube6A,812.83,421.51,right
cube6A,810.23,355.5,right
cube6A,876.24,352.73,right
cube6A,878.49,418.05,right
cube4B,895.28,443.52,right
cube4B,895.04,427.08,right
cube4B,891.8,427.2,right
cube4B,889.76,436.2,right
cube4A,831.08,447.12,right
cube4A,825.8,439.56,right
cube4A,890.24,436.44,right
cube4A,895.4,443.52,right
cube1,842.1,584.5,right
cube1,834.8,574.8,right
cube1,832.9,510.0,right
cube1,898.35,507.69,right
cube1,907.2,517.5,right
cube1,908.95,581.1800000000001,right
cube7B,878.33,417.15,right
cube7B,876.45,352.49,right
cube7B,938.52,349.61,right
cube7B,940.1,413.54,right
cube7A,884.8,427.36,right
cube7A,949.17,424.91,right
cube7A,940.7,413.4,right
cube7A,878.18,416.99,right
cube7B,354.4,415.45,left
cube7B,346.78,352.8,left
cube7B,400.2,350.1,left
cube7B,408.3,413.1,left
cube6A,312.3,428.4,left
cube6A,354.3,415.4,left
cube6A,347.2,353.0,left
cube6A,294.15,354.97,left
cube6A,257.1,364.9,left
cube6A,265.74,429.89,left
cube1,172.64,584.8199999999999,left
cube1,229.3,581.1800000000001,left
cube1,263.54,571.79,left
cube1,255.9,506.3,left
cube1,200.52,509.97,left
cube1,164.7,519.0,left
cube5,891.6,427.09,right
cube5,889.7,436.6,right
cube5,825.7,439.3,right
cube5,819.64,430.03,right
cube2A,898.48,507.8,right
cube2A,895.37,443.7,right
cube2A,904.36,453.2,right
cube2A,907.12,517.8299999999999,right
cube10B,391.84,286.72,left
cube10B,353.56,296.68,left
cube10B,345.88,231.76,left
cube10B,383.44,221.91999999999996,left
cube10A,391.48,286.6,left
cube10A,383.32,222.03999999999996,left
cube10A,437.68,218.79999999999995,left
cube10A,445.0,283.70000000000005,left
cube8A,376.2,424.0,left
cube8A,424.9,420.9,left
cube8A,461.2,411.0,left
cube8A,408.8,412.8,left
cube9,360.66,352.25,left
cube9,353.82,296.47,left
cube9,391.35,286.72,left
cube9,445.05,283.82000000000005,left
cube9,453.35,347.69,left
cube8,949.2,424.8,right
cube8,1012.88,421.19,right
cube8,1011.4,355.1,right
cube8,1003.19,346.64,right
cube8,938.34,348.77,right
cube8,939.85,413.01,right
cube3,156.53,456.4,left
cube3,194.61,447.35,left
cube3,186.83,382.33,left
cube3,148.32,390.75,left
cube2B,898.3,507.92,right
cube2B,833.02,510.32,right
cube2B,831.1,446.36,right
cube2B,895.42,443.6,right
cube9A,1002.88,346.84,right
cube9A,1000.24,284.08000000000004,right
cube9A,1008.5,293.2,right
cube9A,1011.04,355.12,right
cube9B,1002.78,346.86,right
cube9B,937.7,348.88,right
cube9B,935.39,285.80999999999995,right
cube9B,1000.19,283.65,right
cube10A,999.66,283.82000000000005,right
cube10A,998.0,218.89999999999998,right
cube10A,1006.05,229.90999999999997,right
cube10A,1008.3,293.32,right
cube10B,935.09,285.87,right
cube10B,932.77,221.92999999999995,right
cube10B,998.15,219.19000000000005,right
cube10B,999.6,283.71000000000004,right
cube3,904.3,453.1,right
cube3,895.55,443.53,right
cube3,895.3,426.7,right
cube3,903.3,426.29,right
cube8B,460.4,411.35,left
cube8B,453.5,347.8,left
cube8B,400.47,349.97,left
cube8B,407.73,413.21,left
