cube,x,y,figure
cube6B,194.79,470.65,left
cube6B,202.05,408.03,left
cube6B,234.61,390.4,left
cube6B,227.97,451.78,left
cube5B,227.81,452.28,left
cube5B,234.38,390.94,left
cube5B,264.62,374.52,left
cube5B,257.88,436.04,left
cube5A,282.17,469.21,left
cube5A,285.03,445.56,left
cube5A,257.44,436.24,left
cube5A,226.27,452.73,left
cube2B,281.72,478.46,left
cube2B,288.73,418.49,left
cube2B,320.5,403.0,left
cube2B,313.98,462.5,left
cube2A,313.82,462.9,left
cube2A,320.4,402.9,left
cube2A,377.7,418.7,left
cube2A,371.9,477.8,left
cube2A,753.86,477.62,right
cube2A,777.6,417.6,right
cube2A,825.3,437.8,right
cube2A,803.35,496.05,right
cube1B,730.5,539.69,right
cube1B,692.87,522.77,right
cube1B,716.9,460.7,right
cube1B,754.49,477.32,right
cube1A,780.1,556.7,right
cube1A,803.16,495.76,right
cube1A,754.07,477.28,right
cube1A,730.74,539.0899999999999,right
cube1,332.97,557.16,left
cube1,364.89,539.27,left
cube1,371.73,477.72,left
cube1,314.39,462.29,left
cube1,281.8,478.6,left
cube1,276.16,540.15,left
cube10,1002.86,365.22,right
cube10,1038.29,382.64,right
cube10,1086.38,399.49,right
cube10,1110.43,336.56,right
cube10,1042.0,307.3,right
cube10,1026.1,305.7,right
cube9B,988.67,290.44,right
cube9B,990.74,285.25,right
cube9B,1043.2,307.2,right
cube9B,1025.58,305.78,right
cube9A,966.09,348.79,right
cube9A,1002.79,364.76,right
cube9A,1025.4,305.6,right
cube9A,988.9,289.7,right
cube8,927.63,332.01,right
cube8,951.52,271.53999999999996,right
cube8,990.59,284.98,right
cube8,988.35,292.2,right
cube8,965.95,348.93,right
cube7,905.12,390.97,right
cube7,927.93,332.08,right
cube7,1013.36,370.23,right
cube7,991.8,424.97,right
cube7,943.48,408.38,right
cube10B,353.86,349.38,left
cube10B,384.44,357.84,left
cube10B,383.06,373.74,left
cube10B,409.15,382.21,left
cube10B,416.24,319.83,left
cube10B,359.39,304.62,left
cube10A,380.58,397.93,left
cube10A,408.79,382.17,left
cube10A,383.07,373.67,left
cube9B,297.1,357.3,left
cube9B,306.7,351.9,left
cube9B,297.5,349.2,left
cube9A,302.67,288.09,left
cube9A,359.29,304.64,left
cube9A,354.34,349.19,left
cube9A,326.65,341.46,left
cube9A,306.54,351.82,left
cube9A,297.72,349.5,left
cube8B,241.21,332.16,left
cube8B,208.33,349.95,left
cube8B,214.39,288.72,left
cube8B,246.49,272.21000000000004,left
cube8A,241.2,332.5,left
cube8A,246.92,272.4,left
cube8A,302.8,288.2,left
cube8A,297.71,348.05,left
cube6A,252.58,487.2,left
cube6A,282.94,469.78,left
cube6A,225.21,452.61,left
cube6A,194.61,470.28,left
cube2B,754.0,477.34,right
cube2B,716.76,460.92,right
cube2B,740.54,400.74,right
cube2B,777.5,417.6,right
cube6A,920.18,469.74,right
cube6A,968.08,486.54,right
cube6A,991.93,424.95,right
cube6A,944.03,408.36,right
cube5B,895.94,393.25,right
cube5B,896.64,387.55,right
cube5B,907.54,391.65,right
cube5B,944.14,408.85,right
cube5A,872.63,453.65,right
cube5A,920.74,469.82,right
cube5A,943.96,408.86,right
cube5A,896.06,393.1,right
cube4B,849.14,377.35,right
cube4B,848.7,371.59,right
cube4B,896.66,388.0,right
cube4B,896.37,393.48,right
cube7,202.12,407.61,left
cube7,208.69,349.68,left
cube7,241.5,332.4,left
cube7,297.7,347.9,left
cube7,297.1,357.5,left
cube4A,825.24,437.35,right
cube4A,872.53,453.48,right
cube4A,896.2,393.4,right
cube4A,849.4,377.4,right
cube4,285.78,445.25,left
cube4,258.41,436.54,left
cube4,264.22,375.16,left
cube4,294.91,358.37,left
cube3B,288.46,418.07,left
cube3B,294.88,358.35,left
cube3B,327.03,341.34,left
cube3B,320.7,402.7,left
cube3A,320.8,403.0,left
cube3A,326.86,341.67,left
cube3A,384.71,357.85,left
cube3A,378.08,419.02,left
cube3,739.64,401.01,right
cube3,763.88,340.91,right
cube3,848.73,371.21,right
cube3,849.23,377.27,right
cube3,825.24,437.87,right
