cube,x,y,figure
cube10B,902.5,354.0,right
cube10B,959.95,353.98,right
cube10B,933.6,331.23,right
cube10B,905.66,331.81,right
cube8B,882.91,285.87,right
cube8B,823.44,285.29999999999995,right
cube8B,832.51,224.24,right
cube8B,892.99,223.80999999999995,right
cube8A,882.84,286.15999999999997,right
cube8A,908.88,308.96,right
cube8A,918.6,246.79999999999995,right
cube8A,892.8,224.0,right
cube7B,874.13,345.34,right
cube7B,814.51,345.49,right
cube7B,823.44,285.44000000000005,right
cube7B,883.2,285.58000000000004,right
cube7A,873.7,345.63,right
cube7A,882.91,285.87,right
cube7A,909.12,308.62,right
cube7A,900.19,368.53,right
cube9,272.33,323.71,left
cube9,251.2,246.5,left
cube9,200.2,268.9,left
cube9,218.7,331.28,left
cube9,255.06,332.19,left
cube1,321.93,611.15,left
cube1,284.3,610.9,left
cube1,265.36,549.54,left
cube1,316.2,526.2,left
cube1,354.2,526.6,left
cube1,372.93,588.17,left
cube4,908.6,490.6,right
cube4,878.83,490.4,right
cube4,853.98,466.76,right
cube4,863.4,405.2,right
cube4,922.76,404.64,right
cube4,340.7,482.8,left
cube4,317.78,405.58,left
cube4,355.66,405.58,left
cube4,371.57,466.69,left
cube9,905.54,331.84,right
cube9,918.7,247.0,right
cube9,944.9,269.5,right
cube9,933.9,331.2,right
cube10A,933.46,331.38,right
cube10A,960.1,353.55,right
cube10A,970.8,291.3,right
cube10A,944.69,269.6,right
cube5B,343.1,490.2,left
cube5B,360.2,490.2,left
cube5B,410.0,467.5,left
cube5B,371.3,467.0,left
cube5B,340.7,482.7,left
cube5A,371.4,466.9,left
cube5A,409.93,467.38,left
cube5A,391.65,404.5,left
cube5A,355.72,405.79,left
cube3B,298.52,465.9,left
cube3B,280.4,404.9,left
cube3B,318.01,405.26,left
cube3B,335.8,466.21,left
cube3A,298.6,465.4,left
cube3A,280.43,404.73,left
cube3A,229.0,427.5,left
cube3A,247.91,489.71,left
cube2B,265.59,549.65,left
cube2B,248.21,489.5,left
cube2B,298.33,465.67,left
cube2B,315.93,526.26,left
cube2A,315.91,526.23,left
cube2A,297.8,465.9,left
cube2A,335.59,466.08,left
cube2A,354.34,526.6,left
cube1,919.5,610.6,right
cube1,979.7,610.9,right
cube1,989.41,546.89,right
cube1,962.06,525.8399999999999,right
cube1,901.87,525.63,right
cube1,892.61,587.71,right
cube6A,391.66,405.7,left
cube6A,296.21,405.1,left
cube6A,285.0,367.83,left
cube6A,336.21,344.49,left
cube6A,374.39,345.1,left
cube6A,895.19,405.25,right
cube6A,804.6,405.6,right
cube6A,814.6,345.6,right
cube6A,873.67,345.25,right
cube6A,900.04,368.28,right
cube2A,962.29,526.15,right
cube2A,970.06,466.02,right
cube2A,998.1,489.5,right
cube2A,989.41,546.89,right
cube2B,902.0,525.53,right
cube2B,913.05,466.26,right
cube2B,970.42,465.91,right
cube2B,962.3,526.05,right
cube3A,912.6,466.4,right
cube3A,922.51,404.67,right
cube3A,980.3,405.1,right
cube3A,970.18,466.16,right
cube3B,970.06,466.02,right
cube3B,998.05,489.69,right
cube3B,1007.39,427.14,right
cube3B,980.26,405.02,right
cube5A,878.83,490.71,right
cube5A,821.6,490.71,right
cube5A,795.06,466.86,right
cube5A,853.53,466.24,right
cube5B,794.78,467.17,right
cube5B,804.72,405.39,right
cube5B,863.47,405.39,right
cube5B,853.97,466.3,right
cube10B,168.6,353.72,left
cube10B,150.24,291.08,left
cube10B,200.76,268.28,left
cube10B,218.64,331.04,left
cube10A,255.24,332.24,left
cube10A,206.76,354.08,left
cube10A,168.36,353.72,left
cube10A,218.16,331.04,left
cube8B,267.89,307.47,left
cube8B,317.71,285.58000000000004,left
cube8B,300.14,223.65999999999997,left
cube8B,251.1,246.5,left
cube8A,317.7,285.29999999999995,left
cube8A,299.84,224.16999999999996,left
cube8A,338.2,223.96000000000004,left
cube8A,356.24,284.71000000000004,left
cube7B,336.08,345.06,left
cube7B,374.03,345.26,left
cube7B,356.41,284.71000000000004,left
cube7B,318.46,285.53999999999996,left
cube7A,336.54,344.64,left
cube7A,318.5,285.34000000000003,left
cube7A,267.28,307.32,left
cube7A,284.91,367.66,left
