cube,x,y,figure
cube3,257.99,530.6,left
cube3,320.61,533.63,left
cube3,329.7,470.5,left
cube3,316.57,449.29,left
cube3,254.2,445.5,left
cube3,245.61,507.37,left
cube2B,184.25,503.83,left
cube2B,191.83,442.72,left
cube2B,254.71,445.25,left
cube2B,246.12,506.61,left
cube2A,195.62,527.06,left
cube2A,258.24,530.0899999999999,left
cube2A,245.87,506.61,left
cube2A,184.0,503.58,left
cube1B,120.11,500.8,left
cube1B,127.69,438.18,left
cube1B,192.33,442.22,left
cube1B,184.25,503.83,left
cube1A,196.12,526.56,left
cube1A,132.49,523.53,left
cube1A,120.37,500.55,left
cube1A,184.25,503.07,left
cube6B,828.99,268.26,right
cube6B,874.59,265.1,right
cube6B,919.13,287.37,right
cube6B,876.2,291.4,right
cube6A,815.67,330.16,right
cube6A,829.69,268.78,right
cube6A,876.34,291.93,right
cube6A,862.31,352.61,right
cube5B,848.06,411.23,right
cube5B,892.63,409.19,right
cube5B,900.52,371.05,right
cube5B,862.09,352.34,right
cube5A,801.96,388.92,right
cube5A,816.06,329.78,right
cube5A,862.35,352.51,right
cube5A,848.25,411.64,right
cube9,380.74,419.36,left
cube9,336.1,416.0,left
cube9,339.08,393.48,left
cube9,367.9,394.74,left
cube10,381.3,419.0,left
cube10,368.14,395.75,left
cube10,376.97,333.63,left
cube10,440.1,336.66,left
cube10,453.74,360.4,left
cube10,445.66,422.27,left
cube7,341.7,374.2,left
cube7,356.8,374.9,left
cube7,364.9,312.55,left
cube7,352.53,289.07,left
cube8A,920.5,313.3,right
cube8A,963.32,333.84,right
cube8A,1008.03,330.84,right
cube8A,965.07,309.8,right
cube9B,964.37,333.65,right
cube9B,1009.79,357.34,right
cube9B,1053.63,353.11,right
cube9B,1008.56,331.04,right
cube9A,996.64,418.35,right
cube9A,1040.48,415.54,right
cube9A,1054.68,352.96,right
cube9A,1010.67,356.8,right
cube7B,876.87,291.58,right
cube7B,921.06,313.5,right
cube7B,964.55,309.99,right
cube7B,920.0,287.54999999999995,right
cube7A,906.15,373.65,right
cube7A,862.66,352.61,right
cube7A,876.52,291.4,right
cube7A,921.23,313.5,right
cube10,905.4,399.0,right
cube10,921.1,336.2,right
cube10,963.74,333.93,right
cube10,1010.24,357.5,right
cube10,996.78,418.1,right
cube10,951.11,422.1,right
cube2,906.29,527.19,right
cube2,862.45,529.75,right
cube2,883.1,447.0,right
cube2,919.57,466.42,right
cube1B,919.11,465.83,right
cube1B,882.91,446.89,right
cube1B,884.2,440.8,right
cube1B,919.74,438.89,right
cube1B,966.24,462.04,right
cube1A,906.3,526.9,right
cube1A,919.95,464.99,right
cube1A,966.03,462.04,right
cube1A,951.51,524.3299999999999,right
cube5B,324.99,391.08,left
cube5B,331.39,331.82,left
cube5B,344.37,351.81,left
cube5B,336.36,411.38,left
cube5A,260.29,384.66,left
cube5A,267.48,325.56,left
cube5A,331.48,330.47,left
cube5A,324.8,389.0,left
cube4B,329.88,471.0,left
cube4B,336.31,411.38,left
cube4B,324.9,390.9,left
cube4B,316.58,449.23,left
cube4A,253.2,445.23,left
cube4A,260.88,384.71,left
cube4A,325.3,388.73,left
cube4A,316.77,449.13,left
cube6B,330.48,330.42,left
cube6B,267.53,326.58,left
cube6B,275.6,264.5,left
cube6B,340.3,267.99,left
cube6A,344.37,351.64,left
cube6A,331.04,330.25,left
cube6A,339.99,268.52,left
cube6A,352.61,289.74,left
cube9B,356.68,375.17,left
cube9B,364.86,313.21,left
cube9B,376.99,333.37,left
cube9B,367.93,395.63,left
cube9A,338.94,393.36,left
cube9A,341.61,374.6,left
cube9A,356.96,375.09,left
cube9A,367.92,394.7,left
cube4A,832.94,471.32,right
cube4A,847.14,411.0,right
cube4A,892.39,409.07,right
cube4A,877.83,468.69,right
cube3B,818.74,533.4,right
cube3B,773.49,510.43,right
cube3B,787.87,448.18,right
cube3B,833.11,470.8,right
cube3A,862.4,530.0699999999999,right
cube3A,818.91,532.87,right
cube3A,833.11,470.97,right
cube3A,877.83,468.52,right
cube8B,906.28,373.98,right
cube8B,910.85,376.71,right
cube8B,920.9,336.1,right
cube8B,916.33,333.29,right
cube8C,920.99,336.17,right
cube8C,916.29,333.37,right
cube8C,921.09,313.87,right
cube8C,963.59,333.97,right
cube4B,832.94,471.15,right
cube4B,787.87,447.82,right
cube4B,802.08,388.38,right
cube4B,847.67,411.17,right
