cube,x,y,figure
cube8B,272.38,388.99,left
cube8B,293.34,386.71,left
cube8B,298.14,365.25,left
cube8B,277.94,366.01,left
cube8C,277.43,366.26,left
cube8C,250.41,335.71,left
cube8C,304.7,331.41,left
cube8C,297.63,365.5,left
cube1,1020.89,487.8,right
cube1,1063.06,492.34,right
cube1,1107.25,459.51,right
cube1,1085.03,401.94,right
cube1,1041.35,398.66,right
cube1,997.66,431.49,right
cube2A,1021.2,524.3,right
cube2A,978.05,520.54,right
cube2A,1020.98,487.5,right
cube2A,1063.48,492.13,right
cube2B,977.84,520.75,right
cube2B,956.16,463.93,right
cube2B,997.62,431.32,right
cube2B,1020.56,488.34,right
cube3A,978.68,556.94,right
cube3A,935.54,553.16,right
cube3A,978.05,520.12,right
cube3A,1021.5,524.4,right
cube3B,935.44,553.06,right
cube3B,913.67,496.21,right
cube3B,956.53,463.55,right
cube3B,977.78,520.5699999999999,right
cube4A,913.84,496.55,right
cube4A,891.73,441.26,right
cube4A,935.79,407.74,right
cube4A,956.7,463.03,right
cube4B,956.57,463.22,right
cube4B,989.6,437.5,right
cube4B,978.29,410.66,right
cube4B,935.57,407.66,right
cube5A,891.31,441.83,right
cube5A,870.06,386.01,right
cube5A,913.6,352.84,right
cube5A,935.55,407.96,right
cube5B,935.38,408.13,right
cube5B,978.57,410.55,right
cube5B,956.97,355.26,right
cube5B,913.43,351.97,right
cube6A,913.43,352.49,right
cube6A,891.67,296.68,right
cube6A,936.07,300.48,right
cube6A,957.16,355.26,right
cube7B,304.48,330.69,left
cube7B,276.86,298.1,left
cube7B,334.14,293.71,left
cube7B,360.74,327.32,left
cube1A,227.93,452.65,left
cube1A,256.69,484.56,left
cube1A,269.84,428.1,left
cube1A,264.58,422.31,left
cube1A,234.6,424.77,left
cube1B,264.81,422.26,left
cube1B,269.9,428.22,left
cube1B,305.4,426.4,left
cube1B,309.7,403.7,left
cube1B,299.36,391.57,left
cube1B,270.95,393.67,left
cube2,256.57,484.16,left
cube2,284.63,516.6,left
cube2,305.14,426.29,left
cube2,269.9,428.04,left
cube3,284.28,516.78,left
cube3,312.86,549.22,left
cube3,370.38,545.71,left
cube3,382.3,488.72,left
cube3,325.31,491.52,left
cube3,297.6,459.96,left
cube4,297.55,460.36,left
cube4,325.43,491.93,left
cube4,382.6,489.12,left
cube4,395.05,433.71,left
cube4,337.4,437.4,left
cube4,309.7,404.2,left
cube5,308.77,402.67,left
cube5,312.81,386.01,left
cube5,349.46,383.21,left
cube5,407.15,379.7,left
cube5,395.05,433.71,left
cube5,337.36,437.22,left
cube6A,349.22,383.36,left
cube6A,360.79,327.17,left
cube6A,419.29,324.02,left
cube6A,406.88,379.99,left
cube6B,360.42,327.43,left
cube6B,333.5,293.8,left
cube6B,391.25,290.31,left
cube6B,419.6,323.77,left
cube7A,348.82,383.04,left
cube7A,292.84,386.62,left
cube7A,304.63,330.65,left
cube7A,360.39,327.49,left
cube8A,304.18,331.02,left
cube8A,249.1,335.1,left
cube8A,220.5,301.9,left
cube8A,276.65,298.05,left
cube9A,178.95,394.69,left
cube9A,193.6,338.38,left
cube9A,164.05,305.3,left
cube9A,151.17,362.88,left
cube9B,193.25,338.64,left
cube9B,248.8,335.28,left
cube9B,220.18,301.4,left
cube9B,163.79,304.97,left
cube10,178.73,394.83,left
cube10,207.35,427.02,left
cube10,264.79,422.39,left
cube10,277.84,366.21,left
cube10,250.48,335.07,left
cube10,193.67,338.85,left
cube10B,699.54,407.3,right
cube10B,677.07,350.8,right
cube10B,720.62,317.27,right
cube10B,742.74,374.3,right
cube10A,743.43,411.28,right
cube10A,699.71,407.13,right
cube10A,742.56,374.64,right
cube10A,786.46,378.96,right
cube9,786.58,379.21,right
cube9,742.82,374.23,right
cube9,720.22,317.21,right
cube9,763.97,284.65,right
cube9,806.48,289.0,right
cube9,827.22,346.24,right
cube8B,827.38,346.24,right
cube8B,806.47,289.56,right
cube8B,848.8,292.84,right
cube8B,870.92,349.86,right
cube8A,829.1,383.04,right
cube8A,786.42,378.72,right
cube8A,827.72,345.89,right
cube8A,870.57,349.52,right
cube7B,870.58,349.87,right
cube7B,848.97,293.53,right
cube7B,891.66,296.64,right
cube7B,912.91,352.28,right
cube7A,869.25,386.21,right
cube7A,829.23,382.69,right
cube7A,870.7,349.51,right
cube7A,913.83,352.42,right
