cube,x,y,figure
cube1A,306.67,569.96,left
cube1A,370.5,567.3,left
cube1A,383.13,558.74,left
cube1A,320.7,559.44,left
cube1B,306.16,569.96,left
cube1B,300.9,503.5,left
cube1B,315.81,495.43,left
cube1B,320.72,559.44,left
cube2A,383.14,559.09,left
cube2A,398.0,550.5,left
cube2A,334.2,551.6,left
cube2A,320.89,559.28,left
cube2B,320.54,559.44,left
cube2B,315.63,494.91,left
cube2B,328.5,487.8,left
cube2B,334.15,551.71,left
cube3,333.94,551.54,left
cube3,397.2,550.6,left
cube3,411.38,542.49,left
cube3,406.12,476.83,left
cube3,341.52,480.2,left
cube3,328.89,487.14,left
cube4A,341.36,480.61,left
cube4A,337.9,417.36,left
cube4A,323.04,425.83,left
cube4A,327.0,488.2,left
cube4B,341.18,480.92,left
cube4B,406.33,476.77,left
cube4B,401.3,414.2,left
cube4B,337.56,416.46,left
cube5A,336.79,417.53,left
cube5A,332.02,353.87,left
cube5A,396.7,351.0,left
cube5A,401.07,414.21,left
cube5B,336.38,416.9,left
cube5B,323.11,425.41,left
cube5B,318.8,362.8,left
cube5B,332.02,353.45,left
cube6A,332.02,353.87,left
cube6A,327.25,289.59,left
cube6A,392.36,285.65,left
cube6A,396.51,351.17,left
cube7A,317.94,364.07,left
cube7A,260.09,366.76,left
cube7A,270.25,356.6,left
cube7A,332.25,353.29,left
cube7B,270.23,357.02,left
cube7B,265.7,292.1,left
cube7B,327.46,289.83,left
cube7B,331.61,353.49,left
cube8A,260.69,367.39,left
cube8A,196.82,370.5,left
cube8A,206.78,359.71,left
cube8A,270.64,356.81,left
cube8B,206.57,359.71,left
cube8B,203.4,295.8,left
cube8B,265.87,292.53,left
cube8B,270.85,357.43,left
cube9,130.05,374.23,left
cube9,197.65,370.29,left
cube9,206.78,359.51,left
cube9,202.8,296.5,left
cube9,139.18,299.79,left
cube9,125.7,308.7,left
cube10A,139.8,299.99,left
cube10A,135.03,236.53999999999996,left
cube10A,199.52,232.60000000000002,left
cube10A,203.67,296.06,left
cube10B,139.8,299.79,left
cube10B,125.7,308.5,left
cube10B,120.72,243.79999999999995,left
cube10B,134.82,235.91999999999996,left
cube1,937.9,570.1,right
cube1,943.86,504.14,right
cube1,902.8,494.5,right
cube1,853.83,493.25,right
cube1,846.75,558.92,right
cube1,881.65,566.69,right
cube2A,846.38,558.83,right
cube2A,812.34,550.54,right
cube2A,820.6,485.2,right
cube2A,853.8,493.7,right
cube2B,820.29,484.7,right
cube2B,853.47,493.0,right
cube2B,901.8,494.2,right
cube2B,877.3,487.2,right
cube3,812.27,550.62,right
cube3,778.72,542.56,right
cube3,786.64,476.9,right
cube3,820.91,484.67,right
cube4A,820.71,485.56,right
cube4A,827.55,422.52,right
cube4A,884.37,425.01,right
cube4A,877.11,487.43,right
cube4B,820.71,485.56,right
cube4B,827.34,422.73,right
cube4B,793.34,413.61,right
cube4B,786.49,477.06,right
cube5A,826.93,422.73,right
cube5A,834.6,358.66,right
cube5A,891.21,361.77,right
cube5A,883.95,425.22,right
cube5B,827.14,423.15,right
cube5B,792.71,413.61,right
cube5B,799.97,349.12,right
cube5B,834.81,358.24,right
cube6A,799.97,349.33,right
cube6A,807.23,285.66999999999996,right
cube6A,870.27,289.81,right
cube6A,896.81,298.94,right
cube6A,891.0,361.97,right
cube6A,834.81,358.86,right
cube7A,890.8,363.84,right
cube7A,944.5,366.95,right
cube7A,950.52,302.26,right
cube7A,897.02,298.94,right
cube7B,896.6,299.56,right
cube7B,871.51,289.81,right
cube7B,931.44,293.75,right
cube7B,950.1,302.67,right
cube8A,944.5,367.16,right
cube8A,998.42,369.85,right
cube8A,1004.84,304.54,right
cube8A,950.93,302.46,right
cube8B,949.89,303.29,right
cube8B,931.85,293.96,right
cube8B,970.84,295.83,right
cube8B,1004.22,304.33,right
cube9,998.0,370.48,right
cube9,1052.12,374.21,right
cube9,1060.0,308.7,right
cube9,1004.64,304.95,right
cube10,969.8,295.21,right
cube10,976.02,233.0,right
cube10,1033.46,235.69000000000005,right
cube10,1067.47,244.39999999999998,right
cube10,1060.21,309.1,right
cube10,1004.22,304.33,right
