cube,x,y,figure
cube1,918.5,475.79,right
cube1,906.4,451.6,right
cube1,916.04,389.69,right
cube1,980.92,394.78,right
cube1,990.6,415.8,right
cube1,981.1,478.95,right
cube6A,811.7,425.12,right
cube6A,891.5,430.9,right
cube6A,896.1,392.5,right
cube6A,884.65,368.65,right
cube6A,821.0,363.39,right
cube9,901.6,354.4,right
cube9,914.67,270.42999999999995,right
cube9,926.19,293.77,right
cube9,915.3,353.5,right
cube8,277.05,303.64,left
cube8,252.81,238.74,left
cube8,311.8,217.60000000000002,left
cube8,335.5,280.70000000000005,left
cube4,303.86,493.8,left
cube4,324.47,488.25,left
cube4,299.0,422.7,left
cube4,281.51,433.15,left
cube1,328.1,620.1,left
cube1,349.49,614.01,left
cube1,407.15,591.29,left
cube1,383.79,529.0,left
cube1,326.56,552.36,left
cube1,304.88,557.83,left
cube9,277.31,304.14,left
cube9,220.24,325.6,left
cube9,195.2,260.70000000000005,left
cube9,252.81,238.74,left
cube10,142.71,353.63,left
cube10,164.18,347.57,left
cube10,220.24,326.11,left
cube10,195.49,260.46000000000004,left
cube10,119.23,290.25,left
cube4B,866.3,490.6,right
cube4B,875.64,429.57,right
cube4B,909.51,431.13,right
cube4B,906.4,451.86,right
cube4B,928.52,494.55,right
cube7B,884.32,369.14,right
cube7B,820.9,363.4,right
cube7B,830.7,305.0,right
cube7B,894.51,308.84,right
cube8A,893.97,309.64,right
cube8A,904.2,247.60000000000002,right
cube8A,914.62,269.33000000000004,right
cube8A,904.92,330.29,right
cube8B,894.29,309.06,right
cube8B,830.64,305.17,right
cube8B,839.4,243.10000000000002,right
cube8B,904.1,248.0,right
cube10A,898.9,375.44,right
cube10A,926.69,377.46,right
cube10A,915.31,353.55,right
cube10A,901.63,354.13,right
cube10B,926.56,377.64,right
cube10B,915.36,353.24,right
cube10B,926.2,294.3,right
cube10B,936.3,315.2,right
cube5B,802.03,484.87,right
cube5B,811.71,425.25,right
cube5B,875.82,429.75,right
cube5B,866.48,490.4,right
cube5A,813.8,508.4,right
cube5A,876.33,513.38,right
cube5A,866.48,490.4,right
cube5A,802.2,484.52,right
cube7A,884.35,368.9,right
cube7A,894.2,309.11,right
cube7A,905.09,331.06,right
cube7A,896.45,392.92,right
cube4A,939.13,519.24,right
cube4A,876.23,513.36,right
cube4A,866.6,490.5,right
cube4A,928.24,494.7,right
cube3B,939.12,518.8399999999999,right
cube3B,928.4,495.6,right
cube3B,990.6,498.68,right
cube3B,1003.08,523.76,right
cube3A,990.84,498.8,right
cube3A,1002.84,523.76,right
cube3A,1013.04,461.0,right
cube3A,1002.12,439.64,right
cube2A,981.15,479.13,right
cube2A,990.69,416.51,right
cube2A,1002.37,439.89,right
cube2A,991.3,499.0,right
cube2B,918.2,475.8,right
cube2B,928.5,495.4,right
cube2B,991.2,498.8,right
cube2B,981.0,479.0,right
cube2B,326.73,552.42,left
cube2B,304.61,557.95,left
cube2B,282.14,498.33,left
cube2B,303.4,494.01,left
cube2A,326.59,552.42,left
cube2A,303.57,494.36,left
cube2A,364.3,475.5,left
cube2A,383.82,528.78,left
cube3B,281.9,433.0,left
cube3B,280.33,429.28,left
cube3B,299.05,422.37,left
cube3A,303.6,494.1,left
cube3A,282.29,498.56,left
cube3A,259.8,436.7,left
cube3A,280.4,429.4,left
cube5B,324.19,488.62,left
cube5B,344.06,483.3,left
cube5B,322.18,423.1,left
cube5B,301.15,427.71,left
cube5A,321.73,423.8,left
cube5A,344.1,483.1,left
cube5A,403.07,461.07,left
cube5A,379.78,400.87,left
cube6B,321.91,423.3,left
cube6B,300.9,427.8,left
cube6B,277.56,367.61,left
cube6B,299.86,362.58,left
cube6A,299.72,362.53,left
cube6A,322.0,423.26,left
cube6A,379.73,400.96,left
cube6A,357.08,339.33,left
cube7B,299.76,362.71,left
cube7B,277.48,367.66,left
cube7B,256.91,311.97,left
cube7B,276.71,304.08,left
cube7A,276.81,303.32,left
cube7A,299.54,362.57,left
cube7A,356.79,339.4,left
cube7A,335.4,280.59000000000003,left
