cube,x,y,figure
cube10B,808.13,270.38,right
cube10B,763.09,280.48,right
cube10B,763.72,215.88,right
cube10B,806.23,207.25,right
cube1,301.09,570.03,left
cube1,364.22,561.19,left
cube1,385.27,550.88,left
cube1,373.48,487.96,left
cube1,313.09,494.28,left
cube1,291.41,503.33,left
cube2A,385.16,551.33,left
cube2A,405.78,542.0699999999999,left
cube2A,395.05,477.25,left
cube2A,373.17,486.93,left
cube2B,372.96,487.99,left
cube2B,313.4,494.09,left
cube2B,333.39,485.04,left
cube2B,395.26,477.46,left
cube3,405.99,542.7,left
cube3,427.25,533.86,left
cube3,415.88,467.36,left
cube3,394.84,476.83,left
cube4A,393.16,477.25,left
cube4A,382.63,415.81,left
cube4A,405.57,404.44,left
cube4A,416.09,467.57,left
cube4B,393.58,477.88,left
cube4B,332.34,485.04,left
cube4B,321.82,423.17,left
cube4B,383.27,415.81,left
cube5A,321.82,423.51,left
cube5A,312.14,360.59,left
cube5A,373.38,351.96,left
cube5A,383.69,416.14,left
cube5B,383.27,416.14,left
cube5B,373.59,352.17,left
cube5B,395.68,341.86,left
cube5B,405.36,404.36,left
cube6A,311.93,360.8,left
cube6A,302.25,298.09,left
cube6A,316.98,288.62,left
cube6A,384.32,279.58000000000004,left
cube6A,395.68,342.28,left
cube6A,373.17,352.59,left
cube7A,311.93,362.48,left
cube7A,253.01,370.69,left
cube7A,242.49,306.51,left
cube7A,302.67,298.3,left
cube7B,242.8,306.78,left
cube7B,260.69,295.84,left
cube7B,316.66,289.11,left
cube7B,302.57,298.37,left
cube8A,253.43,370.69,left
cube8A,193.88,378.27,left
cube8A,183.15,312.82,left
cube8A,242.7,306.72,left
cube8B,182.73,313.03,left
cube8B,204.82,303.77,left
cube8B,259.74,296.2,left
cube8B,243.54,306.51,left
cube9,133.27,386.47,left
cube9,122.12,321.24,left
cube9,182.94,313.24,left
cube9,193.67,378.48,left
cube10,121.91,321.45,left
cube10,111.39,257.48,left
cube10,133.27,247.59000000000003,left
cube10,196.4,239.79999999999995,left
cube10,206.29,303.99,left
cube10,182.94,313.88,left
cube1A,876.41,583.38,right
cube1A,826.14,575.05,right
cube1A,870.57,563.94,right
cube1A,917.77,574.02,right
cube1B,826.07,574.97,right
cube1B,825.92,509.22,right
cube1B,869.62,500.3,right
cube1B,870.64,564.16,right
cube2A,917.55,574.39,right
cube2A,960.22,564.6,right
cube2A,911.3,555.1,right
cube2A,869.62,563.87,right
cube2B,870.78,563.58,right
cube2B,869.91,500.3,right
cube2B,910.88,491.65,right
cube2B,911.76,554.95,right
cube3,911.41,555.65,right
cube3,961.74,564.6,right
cube3,1002.07,556.1800000000001,right
cube3,1002.95,490.77,right
cube3,951.57,483.41,right
cube3,910.89,491.65,right
cube4A,951.04,483.41,right
cube4A,952.1,420.98,right
cube4A,1002.77,428.34,right
cube4A,1002.77,491.12,right
cube4B,950.87,483.58,right
cube4B,909.31,491.47,right
cube4B,909.13,429.22,right
cube4B,952.1,420.28,right
cube5A,952.1,420.8,right
cube5A,952.62,358.37,right
cube5A,1002.6,366.79,right
cube5A,1002.77,427.99,right
cube5B,952.1,420.45,right
cube5B,909.31,428.87,right
cube5B,909.48,367.32,right
cube5B,952.8,358.02,right
cube6A,951.31,358.55,right
cube6A,952.52,294.92,right
cube6A,1003.43,302.8,right
cube6A,1002.52,367.95,right
cube7A,952.82,358.55,right
cube7A,903.43,350.37,right
cube7A,903.73,286.13,right
cube7A,952.52,294.01,right
cube7B,951.22,357.92,right
cube7B,908.29,368.02,right
cube7B,861.36,360.65,right
cube7B,903.24,350.55,right
cube8A,904.08,351.18,right
cube8A,854.84,343.4,right
cube8A,855.05,279.01,right
cube8A,904.5,286.15999999999997,right
cube8B,904.08,350.55,right
cube8B,860.1,360.65,right
cube8B,814.65,353.29,right
cube8B,854.21,342.98,right
cube9,854.63,342.98,right
cube9,814.23,353.71,right
cube9,763.3,345.71,right
cube9,763.94,280.9,right
cube9,808.13,270.79999999999995,right
cube9,855.68,278.38,right
cube10A,806.86,271.22,right
cube10A,806.65,207.66999999999996,right
cube10A,858.21,215.88,right
cube10A,856.74,278.16999999999996,right
