cube,x,y,figure
cube2B,448.72,518.3399999999999,left
cube2B,392.71,518.3,left
cube2B,371.12,473.9,left
cube2B,426.81,473.45,left
cube4A,315.54,474.07,left
cube4A,371.42,473.69,left
cube4A,348.77,427.47,left
cube4A,292.89,426.36,left
cube4B,293.0,426.58,left
cube4B,316.95,380.36,left
cube4B,371.71,379.98,left
cube4B,348.69,427.51,left
cube6A,293.32,426.39,left
cube6A,271.41,382.95,left
cube6A,295.3,337.3,left
cube6A,317.06,379.98,left
cube6B,236.01,428.16,left
cube6B,220.42,395.86,left
cube6B,226.91,382.68,left
cube6B,271.47,382.3,left
cube6B,293.19,426.67,left
cube8A,248.4,337.19,left
cube8A,225.04,291.4,left
cube8A,249.2,244.20000000000005,left
cube8A,271.76,290.47,left
cube8B,225.4,291.4,left
cube8B,168.57,291.09,left
cube8B,191.3,244.29999999999995,left
cube8B,249.64,243.89999999999998,left
cube9A,202.83,336.35,left
cube9A,225.11,291.13,left
cube9A,248.72,337.24,left
cube9A,227.0,382.0,left
cube9B,202.8,336.25,left
cube9B,146.94,335.88,left
cube9B,168.66,290.95,left
cube9B,225.1,291.32,left
cube2A,923.99,471.99,right
cube2A,932.53,426.32,right
cube2A,997.13,426.5,right
cube2A,989.7,472.54,right
cube2B,989.52,472.92,right
cube2B,997.5,517.1,right
cube2B,1005.67,469.57,right
cube2B,996.9,426.9,right
cube3A,997.0,425.6,right
cube3A,1004.63,380.32,right
cube3A,1013.91,427.47,right
cube3A,1005.56,469.42,right
cube5A,876.8,474.12,right
cube5A,813.35,474.12,right
cube5A,805.13,426.34,right
cube5A,869.08,426.34,right
cube3B,932.32,426.76,right
cube3B,940.68,381.12,right
cube3B,1004.57,380.97,right
cube3B,996.99,426.6,right
cube5B,805.17,426.96,right
cube5B,813.68,381.55,right
cube5B,877.13,381.76,right
cube5B,869.04,426.55,right
cube7A,821.66,336.16,right
cube7A,829.54,290.54,right
cube7A,894.24,290.96,right
cube7A,886.98,335.54,right
cube7B,895.27,381.78,right
cube7B,902.95,334.5,right
cube7B,894.03,290.54,right
cube7B,886.77,336.16,right
cube8A,829.57,290.97,right
cube8A,837.18,244.83000000000004,right
cube8A,903.19,244.83000000000004,right
cube8A,894.0,290.8,right
cube8B,903.07,335.12,right
cube8B,910.7,291.78,right
cube8B,902.93,244.39999999999998,right
cube8B,893.71,291.2,right
cube1A,472.77,564.84,left
cube1A,449.4,518.1,left
cube1A,473.15,470.91,left
cube1A,496.91,517.51,left
cube1B,472.56,565.06,left
cube1B,415.78,564.75,left
cube1B,392.89,518.19,left
cube1B,449.66,518.5,left
cube2A,449.01,518.25,left
cube2A,426.18,472.77,left
cube2A,450.8,425.8,left
cube2A,473.1,470.8,left
cube1,924.0,564.6,right
cube1,989.4,564.6,right
cube1,997.8,516.8,right
cube1,989.6,472.4,right
cube1,924.0,472.0,right
cube1,915.34,518.48,right
cube5,316.0,473.9,left
cube5,260.0,474.4,left
cube5,236.0,428.3,left
cube5,293.0,426.7,left
cube3,371.6,473.5,left
cube3,426.37,473.13,left
cube3,450.86,425.9,left
cube3,427.4,380.2,left
cube3,371.57,379.95,left
cube3,348.9,427.6,left
cube4,923.6,473.5,right
cube4,876.67,473.4,right
cube4,868.8,425.82,right
cube4,877.1,381.6,right
cube4,940.8,381.2,right
cube6A,895.6,381.8,right
cube6A,813.7,381.49,right
cube6A,821.7,336.03,right
cube6A,886.93,335.82,right
cube9,895.6,381.4,right
cube9,910.57,292.7,right
cube9,919.1,338.5,right
cube9,911.7,381.3,right
cube10,911.47,381.53,right
cube10,926.8,381.3,right
cube10,919.07,338.03,right
cube10,146.6,429.3,left
cube10,203.75,429.09,left
cube10,227.23,381.87,left
cube10,203.0,336.1,left
cube10,147.18,335.65,left
cube10,123.45,381.87,left
cube7,226.8,382.2,left
cube7,270.58,291.0,left
cube7,294.99,337.51,left
cube7,271.42,382.54,left
