cube,x,y,figure
cube9,364.14,393.99,left
cube9,407.27,415.97,left
cube9,452.9,416.0,left
cube9,469.27,354.59,left
cube9,425.94,331.58,left
cube9,380.52,333.44,left
cube3B,879.53,571.05,right
cube3B,938.97,548.41,right
cube3B,916.85,484.99,right
cube3B,858.1,507.63,right
cube3A,861.38,571.22,right
cube3A,879.7,570.7,right
cube3A,857.75,506.59,right
cube3A,840.99,507.29,right
cube2,846.18,571.05,right
cube2,861.9,570.7,right
cube2,838.8,503.2,right
cube2,824.75,507.8,right
cube1B,805.42,508.0,right
cube1B,836.38,496.62,right
cube1B,839.4,502.82,right
cube1B,824.86,507.57,right
cube1A,827.47,571.14,right
cube1A,846.55,570.72,right
cube1A,824.56,507.48,right
cube1A,805.49,508.1,right
cube10B,452.69,416.8,left
cube10B,499.96,416.59,left
cube10B,515.72,355.21,left
cube10B,468.03,355.84,left
cube10A,426.56,331.99,left
cube10A,470.31,355.84,left
cube10A,515.72,355.42,left
cube10A,472.8,330.95,left
cube9,967.58,263.97,right
cube9,1025.9,239.5,right
cube9,1009.92,238.74,right
cube9,952.36,261.20000000000005,right
cube10,989.4,325.06,right
cube10,1006.81,325.27,right
cube10,1065.7,302.05,right
cube10,1044.55,238.17999999999995,right
cube10,1025.06,239.42999999999995,right
cube10,967.42,264.30999999999995,right
cube8B,910.99,285.32000000000005,right
cube8B,896.31,282.09000000000003,right
cube8B,952.3,261.19000000000005,right
cube8B,967.48,263.41999999999996,right
cube8A,932.14,346.29,right
cube8A,990.12,324.39,right
cube8A,967.48,263.41999999999996,right
cube8A,910.8,284.79999999999995,right
cube7B,853.51,307.22,right
cube7B,841.57,303.24,right
cube7B,896.31,282.09000000000003,right
cube7B,911.49,284.58000000000004,right
cube7A,875.41,367.44,right
cube7A,932.14,345.79,right
cube7A,910.25,284.33000000000004,right
cube7A,853.01,307.22,right
cube6A,797.03,388.09,right
cube6A,775.88,326.88,right
cube6A,840.57,302.99,right
cube6A,853.51,306.97,right
cube6A,874.17,365.69,right
cube6A,815.19,388.34,right
cube5B,835.1,448.8,right
cube5B,817.93,448.31,right
cube5B,797.28,387.59,right
cube5B,814.69,387.84,right
cube5A,835.85,449.55,right
cube5A,814.45,388.59,right
cube5A,874.91,365.94,right
cube5A,895.81,424.92,right
cube4B,858.1,507.46,right
cube4B,840.0,508.0,right
cube4B,818.7,448.53,right
cube4B,835.81,448.19,right
cube4A,858.1,507.63,right
cube4A,835.81,448.53,right
cube4A,895.77,424.86,right
cube4A,916.68,485.69,right
cube6A,279.37,349.12,left
cube6A,296.39,289.4,left
cube6A,252.49,265.21000000000004,left
cube6A,236.37,326.13,left
cube7A,322.26,372.22,left
cube7A,338.64,310.63,left
cube7A,296.13,288.86,left
cube7A,279.95,348.37,left
cube3,234.4,531.1,left
cube3,280.87,531.45,left
cube3,296.31,469.38,left
cube3,249.48,469.2,left
cube2B,164.61,446.75,left
cube2B,207.05,446.95,left
cube2B,250.19,469.9,left
cube2B,203.37,469.55,left
cube2A,188.83,531.73,left
cube2A,234.4,530.8,left
cube2A,249.68,469.31,left
cube2A,204.61,469.48,left
cube1,98.2,508.88,left
cube1,143.4,531.36,left
cube1,189.0,531.6,left
cube1,204.25,469.99,left
cube1,164.36,446.76,left
cube1,115.62,446.0,left
cube4B,248.87,470.15,left
cube4B,295.73,469.74,left
cube4B,311.91,407.95,left
cube4B,265.25,407.95,left
cube5A,264.22,408.15,left
cube5A,279.77,348.85,left
cube5A,322.07,371.04,left
cube5A,311.7,408.36,left
cube5B,264.22,408.69,left
cube5B,279.98,348.97,left
cube5B,236.43,325.75,left
cube5B,220.46,386.3,left
cube6B,296.09,289.7,left
cube6B,339.8,287.4,left
cube6B,298.78,265.51,left
cube6B,253.09,265.51,left
cube8B,381.35,333.65,left
cube8B,425.5,331.6,left
cube8B,384.26,309.8,left
cube8B,338.84,310.63,left
cube7B,295.3,289.48,left
cube7B,338.43,311.05,left
cube7B,384.46,311.05,left
cube7B,341.13,287.82000000000005,left
cube8A,321.84,371.6,left
cube8A,364.97,393.99,left
cube8A,381.15,333.03,left
cube8A,338.84,310.63,left
cube4A,249.29,470.15,left
cube4A,265.25,408.57,left
cube4A,220.46,385.97,left
cube4A,205.95,446.31,left
