cube,x,y,figure
cube9A,794.3,360.3,right
cube9A,839.6,358.02,right
cube9A,830.44,293.73,right
cube9A,785.86,295.81,right
cube8,839.7,357.9,right
cube8,885.43,356.22,right
cube8,876.22,291.28,right
cube8,829.94,293.27,right
cube7,803.07,432.86,right
cube7,892.65,409.72,right
cube7,885.43,355.97,right
cube7,838.4,357.96,right
cube7,793.61,371.15,right
cube6A,802.48,432.29,right
cube6A,812.43,497.2,right
cube6A,858.26,484.34,right
cube6A,848.51,421.09,right
cube6B,812.8,497.58,right
cube6B,860.32,495.13,right
cube6B,902.22,484.19,right
cube6B,858.45,484.48,right
cube5B,857.97,484.92,right
cube5B,902.97,472.69,right
cube5B,893.0,409.6,right
cube5B,848.43,421.05,right
cube5A,858.24,484.4,right
cube5A,902.4,484.4,right
cube5A,947.04,472.64,right
cube5A,903.36,472.4,right
cube4A,902.5,472.64,right
cube4A,947.42,462.42,right
cube4A,937.5,397.8,right
cube4A,892.4,408.6,right
cube4B,902.38,472.52,right
cube4B,947.29,472.63,right
cube4B,990.97,461.78,right
cube4B,947.68,462.03,right
cube3,991.24,462.52,right
cube3,1035.78,448.84,right
cube3,1027.56,384.39,right
cube3,981.28,386.13,right
cube3,936.99,397.58,right
cube3,947.44,462.02,right
cube2A,1035.14,448.74,right
cube2A,1081.59,446.87,right
cube2A,1072.7,382.3,right
cube2A,1027.67,384.25,right
cube2B,997.02,461.2,right
cube2B,1046.09,458.6,right
cube2B,1081.52,446.85,right
cube2B,1035.55,448.93,right
cube1A,1046.8,458.6,right
cube1A,1082.9,457.9,right
cube1A,1128.17,445.5,right
cube1A,1082.21,446.37,right
cube1B,1072.25,382.17,right
cube1B,1118.5,379.89,right
cube1B,1127.62,445.63,right
cube1B,1081.38,447.28,right
cube1A,336.27,570.63,left
cube1A,335.65,505.19,left
cube1A,354.06,492.97,left
cube1A,354.83,558.72,left
cube1B,336.5,570.81,left
cube1B,273.07,568.34,left
cube1B,272.15,503.52,left
cube1B,335.88,504.6,left
cube2,271.8,503.47,left
cube2,272.54,476.37,left
cube2,285.35,476.55,left
cube2,353.3,431.8,left
cube2,354.04,493.07,left
cube2,335.85,504.77,left
cube3A,335.3,443.7,left
cube3A,333.62,379.28,left
cube3A,352.0,367.03,left
cube3A,352.74,432.37,left
cube3B,333.5,379.4,left
cube3B,301.0,378.5,left
cube3B,301.4,365.4,left
cube3B,351.9,367.1,left
cube4A,300.9,378.1,left
cube4A,300.8,390.5,left
cube4A,318.5,390.3,left
cube4A,333.7,379.4,left
cube4B,318.6,454.6,left
cube4B,318.3,390.6,left
cube4B,333.55,379.33,left
cube4B,335.42,443.55,left
cube5,301.12,466.02,left
cube5,300.12,390.56,left
cube5,318.12,390.42,left
cube5,318.4,454.93,left
cube6A,284.74,476.73,left
cube6A,283.87,412.79,left
cube6A,300.29,401.91,left
cube6A,300.98,466.19,left
cube6B,285.08,476.9,left
cube6B,221.15,475.35,left
cube6B,220.8,411.07,left
cube6B,283.7,412.45,left
cube7,220.51,411.15,left
cube7,220.66,347.94,left
cube7,302.4,351.6,left
cube7,299.86,402.51,left
cube7,284.16,412.45,left
cube8A,220.21,347.75,left
cube8A,219.38,284.09000000000003,left
cube8A,283.04,286.16999999999996,left
cube8A,284.5,350.5,left
cube8B,219.36,284.0,left
cube8B,236.76,272.24,left
cube8B,298.2,274.4,left
cube8B,283.44,286.28,left
cube9A,284.3,350.6,left
cube9A,346.31,353.41,left
cube9A,344.84,288.72,left
cube9A,282.86,286.02,left
cube9B,283.04,286.39,left
cube9B,298.59,273.95000000000005,left
cube9B,362.05,276.65,left
cube9B,345.25,288.67,left
cube10,346.08,353.91,left
cube10,407.04,355.36,left
cube10,425.08,344.16,left
cube10,423.63,278.42999999999995,left
cube10,363.3,276.20000000000005,left
cube10,344.84,288.59,left
cube10,702.57,376.16,right
cube10,751.64,373.22,right
cube10,794.5,360.09,right
cube10,786.1,296.0,right
cube10,738.3,298.3,right
cube10,692.89,309.98,right
cube9B,752.73,373.29,right
cube9B,794.72,371.05,right
cube9B,839.82,358.09,right
cube9B,792.82,360.33,right
